date,description,rating,title,username
Reviewed in India on 13 June 2023,"The product is good & worth the money. The packing was little damaged due to delivery but the product was not damaged. The only problem with this Matte finish mouse is that despite your hands are clean, you will always feel the mouse is dusty because of the matte finish on the top of the mouse.",4.0 out of 5 stars,The mouse is nice & sturdy,Yash Mathukia
Reviewed in India on 24 May 2023,"Guys, this is my 4th HP product and I see that nowadays HP products are very bad in quality. Having trouble in left click button, simply double clicks mostly for a single click and taking a snap with this mouse is a nightmare. Have to try atleast 3 times to capture the correct frame. Its been like this for 2 weeks, bought it on 25 Sep 2022. Should get a replacement and that's another headache, called a local HP authorised service centre the said we can do only with ticket number from HP customer care team, so called the toll free number they said no need ticket numbers for mouse. Confused!! 😢😢",4.0 out of 5 stars,9 Months Review,Pravin
Reviewed in India on 9 June 2023,Hmm very smooth use product,4.0 out of 5 stars,Very good product,Amazing 🤩 and  smooth use product 
Reviewed in India on 30 May 2023,"Good,",4.0 out of 5 stars,Value of Money,Vinaya Vijayan
Reviewed in India on 14 May 2023,Nil,4.0 out of 5 stars,Value for money.,Sebastian Palackel
Reviewed in India on 27 April 2023,Value for money mouse but could have been made better. Felt like could go down any time,4.0 out of 5 stars,Good mouse but feels a bit cheap,Ambar gupta
Reviewed in India on 27 April 2023,Nice product,4.0 out of 5 stars,Mouse,Amazon Customer
Reviewed in India on 17 April 2023,A good economical option provided by HP. Movement can be improved.,4.0 out of 5 stars,Good Buy at this price,Siva EN
Reviewed in India on 14 June 2023,"Just go for it.,Super quick response no connection issues.,Quality super.",5.0 out of 5 stars,Amazing,Ganesh vakiti
Reviewed in India on 30 April 2023,The build is not good and seems a cheap mouse. Bought after seeing the features but after using it for a week or so thinking to change it as have a bad experience while using it for long hours.,3.0 out of 5 stars,Not happy,Kalp
Reviewed in India on 12 June 2023,Good Working Nice Product,5.0 out of 5 stars,Good,meeran mytheen
Reviewed in India on 23 March 2023,Still mo problem with the mouse,4.0 out of 5 stars,Product is good,shinod r.
Reviewed in India on 8 May 2023,Nice one! But the mouse body is not strong,3.0 out of 5 stars,Good one,SANGEETHA
Reviewed in India on 13 April 2023,I used logitech wireless mouse for 1 year and when I started using HP wireless i feel the difference. The logitech product was smooth and the arrow movement and click was perfect. This mouse make clicking sound and then the movement and selection is not perfect. They need to improve.,3.0 out of 5 stars,Cost wise good but not upto mark product,Abhimaan Singh
Reviewed in India on 14 April 2023,"I had been using this since 2 months and until now, it's working quite well. The sensitivity of this mouse is somewhat problematic that's why I purchased a seperate mouse pad for that but other than that, everything's fine.",3.0 out of 5 stars,"Low sensitivity, works well with a mouse pad",Raj
Reviewed in India on 11 May 2023,Looks very fragile.,3.0 out of 5 stars,Average quality,Hari Krishnan KS
Reviewed in India on 23 March 2023,,4.0 out of 5 stars,Good product,Vishesh Dhiman
Reviewed in India on 7 May 2023,"Needs only 1 battery,Press of right click is hard comparatively,Changing of battery is tricky could have been madw easy,Sometimes get stuck, & needs a shake",3.0 out of 5 stars,"Not user friendly,  click needs a stronger press, battery changing is not so easy",Ksk
Reviewed in India on 21 March 2023,Delicate click button,4.0 out of 5 stars,Working fine,SRSWONLINE
Reviewed in India on 14 March 2023,Mouse Stopped working after 3 months.,4.0 out of 5 stars,Mouse Stopped Working After 3 Months,abhishek
Reviewed in India 🇮🇳 on 28 April 2023,Value for money,3.0 out of 5 stars,Good,siva
Reviewed in India 🇮🇳 on 6 March 2023,Good Product But in one year this product does not work properly and basic scrolling does not work properly.,4.0 out of 5 stars,Scrolling not work in one year.,manishprajapati
Reviewed in India 🇮🇳 on 21 February 2023,Product is genuine but company gives 1 year warranty and there is no warranty card inside the box.How can we claim our warranty if arise any problem within warranty period?,4.0 out of 5 stars,Product is genuine but there is no warranty card inside box,Navratan Bamboli
Reviewed in India 🇮🇳 on 29 May 2023,"Good product..,Value for money...",5.0 out of 5 stars,Worth the price,Amazon Customer
Reviewed in India 🇮🇳 on 1 June 2023,Excellent performance,5.0 out of 5 stars,Mouse,Anjani Kumar Achanta
Reviewed in India 🇮🇳 on 27 May 2023,Easy to connect. Good quality.,5.0 out of 5 stars,Blootooth Mouse,Pradeep
Reviewed in India 🇮🇳 on 15 April 2023,"Pros simple basic smoth,Cons bit pricy for basic mouse",3.0 out of 5 stars,Pros n cons,dave
Reviewed in India 🇮🇳 on 6 March 2023,Good one.,4.0 out of 5 stars,"Nice product,",Vikas
Reviewed in India 🇮🇳 on 14 April 2023,Can improve on style and grip.,3.0 out of 5 stars,Mouse is okay.,Swayam Sharma
Reviewed in India 🇮🇳 on 1 May 2023,"Mouse is very handy. Using this more than 3 months. Clicking were soft clicks.,Mouse comes with power ON, Off switch. No need to worry about battery. Company states that one year battery life. Hope for best",5.0 out of 5 stars,Good mouse,Ganesh m
