title,rating,username,description,date,image_urls,asin_number
Great Measuring Bottle,5.0 out of 5 stars,Dave,Product arrived fast and was packaged well.  The markings on the bottle were A little confusing to figure out at first .  But once you figure it out it is very handy to use.  I really like it.  I recommend this measuring bottle.,"Reviewed in the United States on August 10, 2023",,
2 stroke mixer,5.0 out of 5 stars,Floyd Stanley Swift,This makes mixing oil gas mixture for my outboard so much easier. Takes the guess work out of the process.,"Reviewed in the United States on August 3, 2023",,
Excellent to have.,5.0 out of 5 stars,Vicki Meadows,My husband is vision impaired and he marked with a marker where he had to fill to. It works for us.,"Reviewed in the United States on June 29, 2023",,
Good,5.0 out of 5 stars,Vozhyk,Excellent bottle,"Reviewed in the United States on June 18, 2023",,
Missing lid,3.0 out of 5 stars,Lisa,I assumed by the picture this came with a lid.  My order did not have a lid.,"Reviewed in the United States on August 13, 2023",,
Nice to know the gas mixture is correct and by using this mixing measuring cup it comes out exact,5.0 out of 5 stars,Amazon Customer,I like not having to approximate my gas/oil mixture,"Reviewed in the United States on June 10, 2023",,
Good,5.0 out of 5 stars,ms,It’s a cup with a scale,"Reviewed in the United States on May 24, 2023",,
Leaks,3.0 out of 5 stars,Jeepin,"Bought this to keep in the back of the truck. Filled to about 95% and leaks a little bit. Will keep it less full, but really it has one function to hold liquid and it doesn't do that well.","Reviewed in the United States on June 7, 2023",,
Good quality,5.0 out of 5 stars,Tom Owens,Good quality,"Reviewed in the United States on May 19, 2023",,
Does the job.,5.0 out of 5 stars,Antonio,Exactly what you think it is and does. Bought this bc I couldn't find it in stores. But your better off buying locally if you can and save a couple dollars.,"Reviewed in the United States on March 27, 2023",,
