title,rating,username,description,date,image_urls,asin_number
It’s 2 stroke oil,5.0 out of 5 stars,Troy Acton,For Mercury,"Reviewed in the United States on July 26, 2023",,
!!!,5.0 out of 5 stars,Cody McLean,Good stuff,"Reviewed in the United States on July 10, 2023",,
Shipped right away,5.0 out of 5 stars,"John Spath, Jr","I’ve used this oil in my boat for years
Never disappointed","Reviewed in the United States on July 2, 2023",,
Job well done,5.0 out of 5 stars,Amazon Customer,The price,"Reviewed in the United States on June 15, 2023",,
Just as advertised,5.0 out of 5 stars,Kindle Customer,Item delivered quickly and was just as I ordered.,"Reviewed in the United States on April 12, 2023",,
It came really fast and exactly what I wanted,5.0 out of 5 stars,stepho,That it came really fast I use it for my boat,"Reviewed in the United States on November 17, 2022",,
Excellent two stroke oil,5.0 out of 5 stars,tonydellaria,"I own A 1996 Nitro Bass boat, With a 1996 200 mariner Two stroke I have been using quicksilver oil 18 years In this motor 17 years ago My documented Psi in each cylinder That I wrote on scrap paper LOL Was 124,123,125,124,123,122.8. Since then As of last summer The compression only changed Slightly I still have 122, 123. I can tell you knock on wood My motor runs excellent I absolutely contribute  Using this oil Has something to do with it If you have an old boat as I do Motor. Are use There high performance synthetic blend Number 8M0078011 There's not a better oil on the market It's a little pricey But for the older motors It's the cats meow I'm seeing is believing kind a guy If it sucks I'm going to tell you In this case I would recommend it to anybody And all their two-stroke motor's.","Reviewed in the United States on July 16, 2020",,
Fast delivery,5.0 out of 5 stars,Karen Ross,Very best oil.,"Reviewed in the United States on December 4, 2022",,
"Its OIL, so it costs much more than it should.",4.0 out of 5 stars,RareBear,"Its slippery, its packaged in a plastic container and I use it mixed in the fuel for my 2 cycle boat motor. I don't have a degree in chemistry so what else can I honestly say about this???","Reviewed in the United States on April 18, 2022",,
Great oil for my boat,5.0 out of 5 stars,P. Young,I always use this oil in my 1992 Evinrude 115. Mix it myself at 50:1 ratio. Great oil. Never had any problems with it.,"Reviewed in the United States on July 21, 2022",,
