title,rating,username,description,date,image_urls,asin_number
GOOD JET SKI OIL,5.0 out of 5 stars,RUSS BORNSTEIN,GOOD FACTORY OIL.,"Reviewed in the United States on August 6, 2023",,
Exactly what I needed,5.0 out of 5 stars,Daniel,Exactly what I needed.,"Reviewed in the United States on June 30, 2023",,
fast shipping,5.0 out of 5 stars,GEORGE,great shipping and price,"Reviewed in the United States on June 28, 2023",,
Yamaha Lube - Recommended,5.0 out of 5 stars,Irnanook,Good price for this preferred product.,"Reviewed in the United States on December 1, 2022",,
No comparison,5.0 out of 5 stars,Amazon Customer,"Best oil period. You pay for it, but it is worth it. I have used this in my Yamaha 97 40hp since day 1. I also have a 2001 Merc 9.9 that says only use ""Mercury approved oil"" and I run Yamalune in that with no problems. Smokes alot less that anything else I have tried. Yamaha was at the top of the 2 stroke outboard performance charts before 4strokes took over and this is what powered them.
Spend the money, protect your motor and have it for a lifetime.","Reviewed in the United States on July 5, 2020",,
Great product,5.0 out of 5 stars,D.L.  Hither Creek Organics. ,It is what it is. Minimal smoke when used in my older Yamaha 40 HP 2 stroke oil injection engine. The price here is half the cost of what it would be at my local marina.,"Reviewed in the United States on August 29, 2021",,
Very Fast Delivery,5.0 out of 5 stars,Mike H,"I always use genuine Yamalube in my Yammy outboard. So I rate that 5 stars. But the company that sent it, Leaders RPM, was so prompt in shipping it that I got it 4 days before their estimate. Great product, great service.","Reviewed in the United States on May 28, 2021",,
No smoke!,5.0 out of 5 stars,raf,Very low smoke compared to other premix oils. Use it in my 1967 Mercury 650. Doesn’t leave an oily residue on the exhaust like some other oils do,"Reviewed in the United States on May 31, 2021",,
Low smoke compared to non oem brands!,5.0 out of 5 stars,Rusty,"Gone through jugs of this all season on my 86 200hp Yamaha outboard...tried the Quicksilver brand bc I was in a time crunch. The difference was notable, smoked like crazy. Spend the extra money and enjoy tight lines without dying from fumes!","Reviewed in the United States on July 15, 2020",,
Good 2-stroke oil,5.0 out of 5 stars,Scott,Some of the best oil to use in your 2 stoke Yamaha outboards - used it for a very long time and will keep using it for a very long time....,"Reviewed in the United States on June 21, 2020",,
