title,rating,username,description,date,image_urls,asin_number
Stihl 2.6 oz engine oil,5.0 out of 5 stars,Steve,Used this oil in my leaf blower and worked great. Love the idea of 2.6 oz bottle to be mixed with 1 gallon gas. No measuring needed. Delivery was quick. I will order again.,"Reviewed in the United States on August 7, 2023",,
I like it,5.0 out of 5 stars,Jose,Use it  also on my Dewalt chainsaw also,"Reviewed in the United States on August 15, 2023",,
Good stuff!,5.0 out of 5 stars,Joe,Perfect for what I need!,"Reviewed in the United States on August 15, 2023",,
Oil,5.0 out of 5 stars,william flaskamper,Trimmer and blower,"Reviewed in the United States on August 12, 2023",,
Fool Proof Mixing,5.0 out of 5 stars,Kindle Customer,"Have been using this in my 2 cycle Stihl products (weed eaters, leaf blowers, chain saws)  for years with no engine problems.  Can't get any simpler.  One little bottle per 1 gallon gas container.  No spilling or guessing the correct mixture.","Reviewed in the United States on July 5, 2023",,
As advertised,5.0 out of 5 stars,Kelly Reese,This is a good deal! I enjoy the gallon sized mixer bottles.,"Reviewed in the United States on July 22, 2023",,
Best way to buy the oil,5.0 out of 5 stars,Lee Halliburton,"Best price, fast shipping.","Reviewed in the United States on July 24, 2023",,
Arrived on time,5.0 out of 5 stars,James Albrecht,Item as described,"Reviewed in the United States on July 25, 2023",,
Affordable!!,5.0 out of 5 stars,Bobby,This oil is getting to be crazy expensive!!! Glad I found this bargain!!!,"Reviewed in the United States on July 12, 2023",,
Delivered on time,5.0 out of 5 stars,Lucy,The product was delivered when promised. I haven’t used any of it yet but I’m sure it will be OK.,"Reviewed in the United States on July 7, 2023",,
