title,rating,username,description,date,image_urls,asin_number
A producto adecuado,5.0 out of 5 stars,raul hernandez,Habia pasado mucho tiempo desde que planeaba cambiarle el aceite a mi plantita generadora. No queria dañarla con cualquier aceite. Que mejor que con el que el fabricante recomienda. Ahora seguro y confiado mantengo mi equipo.,"Reviewed in the United States on August 18, 2023",,
Exactly the correct oil for my Honda lawnmower...,5.0 out of 5 stars,Eric in Cincinnati,I feel better knowing the absolute correctly designed oil is being used in my new Honda Lawnmower...,"Reviewed in the United States on August 6, 2023",,
As advertised. Sealed.,5.0 out of 5 stars,Johnny IV,Good packaging. Tamper seal intact. Good price. Why not buy name brand?,"Reviewed in the United States on August 1, 2023",,
Worthy product,5.0 out of 5 stars,marcos velazco,Excellent genuine product,"Reviewed in the United States on July 24, 2023",,
Cambio de aceite a mi power wasch,5.0 out of 5 stars,martin atilano,Todo muy bien si me sirvió la máquina está trabajando muy bien,"Reviewed in the United States on July 5, 2023",,
Keeps my mower going,5.0 out of 5 stars,Jeff,I always use Honda oil in my Honda mower.  It's over 10 years old and doesn't use oil.  So I will keep using Honda oil every year.,"Reviewed in the United States on June 22, 2023",,
Great Seller,5.0 out of 5 stars,Jr. Gray,A ok,"Reviewed in the United States on July 3, 2023",,
It's oil....ok,5.0 out of 5 stars,John G,Bought for my Honda gas powered generator.,"Reviewed in the United States on June 21, 2023",,
best oil for Honda lawnmower.,5.0 out of 5 stars,Ana G.,fresh oil change with the best oil recommended.,"Reviewed in the United States on June 19, 2023",,
"Excellent service, great price",5.0 out of 5 stars,Nancy from Trussville AL,Ordered additional oil suggested for my new Honda lawnmower to have on hand as needed.  Price was best I saw….shipping was free…arrived promptly and was packaged very well.  Happy with my purchase!,"Reviewed in the United States on May 10, 2023",,
