title,rating,username,description,date,image_urls,asin_number
Good price.,5.0 out of 5 stars,Gary R,Bought a vac. pump at auction. It needed an oil change. This oil worked fine  would  buy again.,"Reviewed in the United States on August 1, 2023",,
Oil,4.0 out of 5 stars,Stephen D.,Works great,"Reviewed in the United States on July 9, 2023",,
Fantastic price on this sometimes hard to find item!,5.0 out of 5 stars,Lori,"I was pleasantly surprised this arrived so quickly, and it was in great shape! The price couldn't be beat. Definitely will order again when the need arises!","Reviewed in the United States on June 22, 2023",,
Fast and as ordered!,5.0 out of 5 stars,Aaron La Zare,Thanks!,"Reviewed in the United States on July 6, 2023",,
Works great,5.0 out of 5 stars,Harleyvetteman,Works great. Cheaper than supply house,"Reviewed in the United States on June 20, 2023",,
Perfect for a HFT Chinese A/C vacuum pump,4.0 out of 5 stars,DanEnzmann,"If you use a VP for drying your sealed system, change the oil to this synthetic type to enhance the life of your pump.","Reviewed in the United States on November 13, 2022",,
Vacuum pump oil,5.0 out of 5 stars,Michael B.,Filled pump and ran for 2 hours-oil remained clean.,"Reviewed in the United States on March 21, 2023",,
"Does the job, much bigger than I needed",4.0 out of 5 stars,XpertskiR,"I wish this bottle were 1/5 the size... I just wanted to top off my AC vacuum pump. Now I have enough to pass down to my grandchildren. Among the family heirlooms that my progeny will fight over are my 2 snap-on tools, my Tim Tebow rookie card, my epic DVD collection, and this bottle of oil (97% full).","Reviewed in the United States on August 14, 2022",,
AAA,5.0 out of 5 stars,nelson spain,like AAAA,"Reviewed in the United States on March 18, 2023",,
Does it’s job,4.0 out of 5 stars,jannehen,The oil is exactly what was needed and does it job. Only 4 stars because it would have been supercool if it came with a logo sticker.,"Reviewed in the United States on September 14, 2022",,
