title,rating,username,description,date,image_urls,asin_number
"30WT, Non Detergent for Pressure Water Pump.",5.0 out of 5 stars,Iko the dog,"Valvoline is an American owned company and said it's 30 weight NON detergent oil is from a USA oil field. It was out of stock at 2 auto parts stores near me, so I forked out the extra $4. and had it overnight via Amazon!  This is what you'll need for the pressure washer pump, NOT the engine. There's no need to buy special pump oil at twice the cost, my Honda manual only said ""30 weight ND oil for the pump"". I ran the engine for a full tank of gas, pulled the pump filler plug and the oil looked fine, no foaming or anything out of the ordinary. My time is worth more than the extra $4. it cost me, as I didn't want to drive around town looking for 30WT ND, which used to be everywhere.","Reviewed in the United States on August 14, 2023",,
I have used valvoline oil for 50 yrs now everything in the parts stores is synthetic,5.0 out of 5 stars,Skip,Valvoline has been a great oil for me for 50yrs I used it in my race cars my classics and my fleet operation now I don’t know . But joking around I checked Amazon and I found valvoline conventional oil so if you are looking for it can still be bought thanks Amazon.,"Reviewed in the United States on August 4, 2023",,
Great Packaging,5.0 out of 5 stars,Jacob Frederick,Best bang for the buck!,"Reviewed in the United States on August 16, 2023",,
Good for my Canpbell Hausfeld compressor,4.0 out of 5 stars,Bart I.,"I needed a non-detergent SAE 30 oil for my Campebell Hausfeld compressor, and this fit the bill well, and at a not too outrageous price.","Reviewed in the United States on August 13, 2023",,
"Good Oil, Bad Packaging",4.0 out of 5 stars,JM-GM,"The oil is great but I would like it to stay in the bottle.  i have ordered gallon jugs in the past and Amazon packed them in plastic bags before the box.  they need to do that again.  Anyways, good price.","Reviewed in the United States on August 2, 2023",https://m.media-amazon.com/images/I/71eSlbSlSUL._SY88.jpg,
Very difficult to find 5W20 Daily Protection!,5.0 out of 5 stars,catzmeeeow,"No local stores carry this formula! So glad we found it on Amazon. PLEEEEEEASE do not discontinue as we use it in my vintage (mint) 2003 Honda Civic SI 2.0L
FAST ship - arrived quickly and in perfect condition.
Thank you!","Reviewed in the United States on July 16, 2023",,
Great For Old Cars,5.0 out of 5 stars,Chicago Joe,"This is not a synthetic or blend, which is fine with me.  It's a great oil for older cars rated for it.","Reviewed in the United States on July 20, 2023",,
What I was searching for,5.0 out of 5 stars,Dee Jay sent the wrong side.,Perfect,"Reviewed in the United States on August 5, 2023",,
Was a hard to find item.,5.0 out of 5 stars,joseph r.,"Fair price, name brand, quick shipping","Reviewed in the United States on July 8, 2023",,
Calidad precio,4.0 out of 5 stars,jose g batista,Buen aceite,"Reviewed in the United States on June 21, 2023",,
