title,rating,username,description,date,image_urls,asin_number
Good oil!,5.0 out of 5 stars,Amazon Customer,I run it in all three holes of my 2014 H-D Road King. Works great! No issues!,"Reviewed in the United States on August 17, 2023",,
Great price on great oil!,5.0 out of 5 stars,Maurice A. Plummer,"Lowest price I could find on Valvoline 4 stroke motorcycle oil. Fast, free shipping!","Reviewed in the United States on August 11, 2023",,
Great oil,5.0 out of 5 stars,Josh,Great price and excellent oil for my motorcycle,"Reviewed in the United States on August 13, 2023",,
Review,5.0 out of 5 stars,aaron,Arrived as described and when it should have. No complaints.,"Reviewed in the United States on August 9, 2023",,
awesome product and great price,5.0 out of 5 stars,kurvin stough iii,"just got it installed now to go ride, thanks","Reviewed in the United States on July 21, 2023",,
Perfect for the motorcycle,5.0 out of 5 stars,Kindle Customer,"Exactly what I needed to complete an oil change for the motorcycle, now I have some left over as well in case I need it again.","Reviewed in the United States on June 30, 2023",,
Great price,5.0 out of 5 stars,Jim,Good oil,"Reviewed in the United States on June 23, 2023",,
Works great with DRZ 400 SM,5.0 out of 5 stars,Nick Boeckermann,"Works well for bikes that like to run hot like my DRZ. Helps to keep me from having to top off as often, doesn't burn as much. Runs well through bike. No complaints here.","Reviewed in the United States on May 28, 2023",,
Sale,5.0 out of 5 stars,Kindle Customer,What I was looking for and it was on sale,"Reviewed in the United States on June 3, 2023",,
Need less friction,5.0 out of 5 stars,Steve mcclain,Very good price. I’ve always use Valvoline in my 78 motorcycle.,"Reviewed in the United States on May 10, 2023",,
