title,rating,username,description,date,image_urls,asin_number
This seems to be disappearing in retail settings.,5.0 out of 5 stars,SC Buckeye,"For some reason this full-synthetic 20W50 oil is becoming a scarce commodity. I have a vintage Volkswagen that runs so much cooler with this oil over the HD30 that is also disappearing from retail shelves.
I also use it in my small air-cooled engines on my lawnmowers. The price was competitive and I received it in two days. I would recommend this to anyone for their motorcycle or any of the other applications I mentioned.","Reviewed in the United States on July 19, 2023",,
It's all I use,5.0 out of 5 stars,Jared B.,This is all I use in my 2008 SV650 and it has over 124k miles on it now. Can't complain at all!,"Reviewed in the United States on August 14, 2023",,
Good value for wet clutch oil,5.0 out of 5 stars,T.A.,"After shopping around for full synthetic 20W50 wet clutch compatible oil, this seemed to be the best value. I have not yet run it in my 02 FLH but will update after the next oil change.","Reviewed in the United States on August 2, 2023",,
Works Great,5.0 out of 5 stars,Richard Foster,This is what my new Suzuki V-Strom calls for.,"Reviewed in the United States on August 17, 2023",,
Price,5.0 out of 5 stars,Mark B,"Been using in my Harley for years, engine, transmission, clutch no problems and half the price of syn3","Reviewed in the United States on August 7, 2023",,
Worth the price!,5.0 out of 5 stars,Omar,"I got it for my Honda CBR500R and it works great, of course there are better options but for usual rides and some highway speeds, this is a good option.","Reviewed in the United States on July 25, 2023",,
Good product,5.0 out of 5 stars,michael dybowski,Good oil for the price,"Reviewed in the United States on August 8, 2023",,
Motorcycle use,5.0 out of 5 stars,rondawg,Oil type usage is somewhat subjective but this works well in my Goldwing and my Kawasaki ZG 1400.,"Reviewed in the United States on July 29, 2023",,
Always been good brand,5.0 out of 5 stars,Great for what it is and cost.  Bought this for my boat and has worked great.,Can't really go wrong.  Beat all local store prices,"Reviewed in the United States on August 1, 2023",,
Great oil,5.0 out of 5 stars,Doug P,A great price for a full synthetic motorcycle oil.,"Reviewed in the United States on August 1, 2023",,
