title,rating,username,description,date,image_urls,asin_number
Great oil for street/track riders.,5.0 out of 5 stars,Liudmila,Never had any engine issues even running 7100 oils in my Ninja 400 or S1k in 115-degree weather at Thunderhill. Everything was boiling but the oil looked to be OK and the engine was happy.,"Reviewed in the United States on August 13, 2023",,
Some of the best oil out there!!!,5.0 out of 5 stars,Ben Young,"Have used this Same oil in a number of bikes, I easily went past 4,000 miles and the oil still had redish color to it, and best of all your transmission shifts smother","Reviewed in the United States on August 8, 2023",,
Muy bueno,5.0 out of 5 stars,roger,Muy agradable 👍 tiene un olor a fresas y tiene un color que Siento que fluye sangre en mi r6,"Reviewed in the United States on August 14, 2023",,
The best oil for motorcycles,5.0 out of 5 stars,Ghost rider,"My bikes got 50 k on it , Ive only used another oil one time. It was immediately noticeable so I went back to motul immediately. The best oil period.","Reviewed in the United States on July 25, 2023",,
Good,5.0 out of 5 stars,Nikita,"Bottle looks legit, not feel any difference with 5100, but engine works smooth. Using on my Yamaha Tracer 9 GT. Recommended!","Reviewed in the United States on July 19, 2023",,
BEST OIL FOR YOUR BYKEEEE,5.0 out of 5 stars,Trey Feller,Don’t cheap out on cheap oil. Motul offers the best. The 7100 has a cleaning detergent that cleans while functioning. Also the patented ester core technology sticks to all things metal inside and just provides the smoothest shifts. I change oil 3-3500 miles every time and it never breaks down and get gritty feeling like other oils like mobile 1 would. 49k on my 750 and I beat on that bastard like my own son. Simply the best oil period,"Reviewed in the United States on June 2, 2023",,
It’s good oil,5.0 out of 5 stars,Michael mcnamara,It’s some of the best oil for gold wings,"Reviewed in the United States on June 28, 2023",,
Always the way to go,5.0 out of 5 stars,Curtis Sawyer,Great price and fast delivery,"Reviewed in the United States on June 6, 2023",,
Use this or ecstar on my bikes,5.0 out of 5 stars,08 turbo busa,The oil has been doing great on my rebuilt motors .,"Reviewed in the United States on May 21, 2023",,
Good looking oil,5.0 out of 5 stars,Ramone,Well recommend for Suzuki motorcycles,"Reviewed in the United States on May 4, 2023",,
