title,rating,username,description,date,image_urls,asin_number
It's motor oil,5.0 out of 5 stars,MattB1982,"This functioned as intended, it was a good price, it worked for the 5,000 miles I subjected it to.  The engine didn't blow up while using.  Maybe later it will, but the reason will an unknown.","Reviewed in the United States on August 15, 2023",,
"High quality, always reliable",5.0 out of 5 stars,Greg K,"I use this for my 2016 Mazda3 every 5,000 miles. The car runs great and I'm sure this motor oil plays a big part in that.
I will continue using this brand and product.
Highly recommend it.","Reviewed in the United States on August 13, 2023",,
Great oil,5.0 out of 5 stars,Amazon Customer,"A great oil that I use in all of my european cars, they've been going strong for over 100k+ miles on castrol","Reviewed in the United States on August 11, 2023",,
Oil is oily,5.0 out of 5 stars,Josh,Used this in my subaru. Hasnt exploded yet. Oil is oily.,"Reviewed in the United States on August 17, 2023",,
Greatest oil I ever used,5.0 out of 5 stars,BEAR,Runing in 2021 lists only go 7500 miles change oil and filter. Oil still looks great at 7500 miles,"Reviewed in the United States on July 31, 2023",,
Works Good,5.0 out of 5 stars,Laura ,This oil does the job.,"Reviewed in the United States on August 10, 2023",,
Great engine protection,5.0 out of 5 stars,Irving C.,"I use this oil in my 2016 Subaru Forester limited. I also use a Purolator Boss oil filter, and a magnetic oil pan drain plug. I over maintain my car, so I do annual oil and all my filters by time rather than mileage ! I do this because I drive less than 5,000 miles a year and consider that harder service on my car. The drained oil comes out very clean, and with no debris. Good luck and be safe.","Reviewed in the United States on June 23, 2023",,
Good oil,5.0 out of 5 stars,John,Never had an issue with Castro oil.,"Reviewed in the United States on July 27, 2023",,
"First time i’m using this, now that my car became over 100k miles.",4.0 out of 5 stars,Charles G.,"Let’s see at 10k miles, if it does what it says 🤞but, so far good, no smoke or funny noises and no difference in power etc. not special, I’ll see after 10K.","Reviewed in the United States on July 19, 2023",,
Scotty Kilmer uses it,5.0 out of 5 stars,Brandon Bonifant,"After researching for my civic, this will work","Reviewed in the United States on July 24, 2023",,
