title,rating,username,description,date,image_urls,asin_number
This is great quality engine oil,5.0 out of 5 stars,John,"Mobile one motor all is one of the top engine oils on the market you just never want to run an engine more than 5000 miles without changing the oil regardless if it says 20,000 miles without changing annoyed because I don't get dirty and dirty oil causes friction in the motor, dirty pistons, and eventually scarring on the piston cylinders.  If you're reading this review, please change your oil every 5000 miles the engine will love you for it and will last you a whole lot longer. I have a Chevy 2002 and I've been running this motor oil in my engine for the past 21 years never had a problem because I always change my motor oil every 5000 miles.","Reviewed in the United States on August 8, 2023",,
Only oil for Mercedes-Benz,5.0 out of 5 stars,Jacqueline Lystrup,"I buy two of these 5 quart jugs for every oil change I do in my Mercedes-Benz AMG's.  Each one takes 9 quarts per oil change and this is easily the least expensive way to get that quantity.  I have an E63S AMG as well as an ML63 and this oil I will ever use.  I have seen some 5 quart oil advertised that appears to be the same thing but it came in a bag inside the box instead of giving you a plastic jug.  This will be a 5qt jug which is far better for giving you an empty jug to fill with a cap to take to your nearest oil recycling place after your oil change is finished.  Make sure never to mix synthetic oil with standard though.  If you have a BMW, Audi, Mercedes-Benz, Volkswagen, Porsche, etc that's a European make, this is definitely the oil you're looking for.","Reviewed in the United States on July 10, 2023",,
If it's good enough for Ferrari it's good enough for mama's Toyota!,5.0 out of 5 stars,Westerns Forever,"'Been using AMSOIL for over 40 years.. Mobil 1 was never a full synthetic.. But that's changed.. Times have changed..  Engines these days run for hundreds of thousands of miles.. Synthetic oils have been a large contributor to this longevity.. Amsoil's always been hard to find.. Amazon sells Mobil 1, which is now a Full Synthetic.. And I'm old and on a fixed income.. Mobil 1 wins!","Reviewed in the United States on August 11, 2023",,
Mobil 1 Extended Performance High Mileage Full Synthetic Motor Oil 5W-30,4.0 out of 5 stars,steve,"only gave 4 stars as I have never used this one -
I have been using Mobile One Full Synthetic for my cars and trucks
standard Full Synthetic & High Mileage versions
for a long time now and Always happy with them
Noticed this one (Extended Performance) and thought why not check it out
Is it just be a relabel of the standard High Mileage bottle ?? don't know
Either way, I have always been happy with Mobile One products","Reviewed in the United States on August 17, 2023",,
Good oil,5.0 out of 5 stars,Derrick,"Good oil,  always recommend Mobil 1, I have seen ProjectFarm and FordTechMakuloco on youtube about Mobile 1 and it is a superior product.  I use in all my vehicles including my rarely driven hauler truck which I only change 1-2 times a year.  I also use this product in my newer F150 which asks for 10k intervals, I drive this truck 1500-1800miles/mon and I change every 5k but knowing that I'm changing it ""mid life"" or going over a bit, gives me peace of mind.  I use it in my wife 2020 vehicle which is used very lightly and changed every 10k.  It fits all my vehicle needs.","Reviewed in the United States on July 16, 2023",,
Over 360000 miles,5.0 out of 5 stars,William Eddy ll,I started using Mobile 1 extended on my then new 2011 chevy impala on its first oil change and I use a fram10000 mile oil filter. I add half a quart is all to my car at 5000 miles other cars may need more between oil changes. Then I change the oil and filter every 10000 miles. I now have 365000 miles on my original factory engine with no oil burning either! Mobil 1 fully synthetic oil is a great product!,"Reviewed in the United States on August 4, 2023",,
Actually good for 20K plus miles,5.0 out of 5 stars,Luis Martinez,"First used this at 160K miles on my Lexus GX 460. Changed it at 180K and the oil was still full and color was somewhat clear. Could’ve probably done another 5K with oil, but for sure good for 20K at least.","Reviewed in the United States on August 11, 2023",,
Truly Epic Oil,5.0 out of 5 stars,Controlled Chaos,"This is epic oil, really. It improves gas mileage overall and withstands extremely demanding environments.
In changing it it always is cleaner than most and still has the characteristics of good oil unlike others which appear thined out or like sludge.
I trust it because after using GTX for years on vehicles hitting 300,000 miles, that says it all.
Great stuff, get it.","Reviewed in the United States on August 1, 2023",,
Perfect for Mercedes GLC43 AMG,5.0 out of 5 stars,Bolts&Banter,"DIY guy here doing maintenance on my 2018 Mercedes GLC43 AMG. This ships fast and the pricing is competitive, saving me a trip to the store.","Reviewed in the United States on August 18, 2023",,
I use it often,5.0 out of 5 stars,Family Man,My higher mileage vehicles actually all vehicles use synthetic as of 6 years ago. I take excellent care of them and feel confident in mobile one. I feel the higher mileage additives help engines run better for the long haul. Recently I noticed the price in subscribe and save are priced fair. Every 5000 miles oil and filter. I recycle the old oil and it's accepted at local auto parts store.,"Reviewed in the United States on July 24, 2023",,
Oil is great. Shipping practices are the WORST.,1.0 out of 5 stars,JohnnyRocket,"Was going to change my oil until i saw the cap on the bottle had cracked and distributed oil from one Stae to the next. Bottle was 1/2 full and the mess was as you can imagine it would be. Amazon does not accept messy returns so basically your stuck with the partial bottle of expensive non-returnable crap. It's a great price but only if you get it, right?","Reviewed in the United States on May 31, 2022",,
Watch out😱😱,1.0 out of 5 stars,CARLOS EDUARDO MEDRANO ,"I've been following up for 2 months and this oil is evaporating... I don't know the reason, but I don't know, I already checked the mechanics and the PCV valve is new, the understanding of each cylinder is good and the intake and exhaust valves work very well the car has good power","Reviewed in the United States on August 30, 2022",,
"88 for a 5 quart jug is a great price, but not so great for a outdated ...",1.0 out of 5 stars,GypsyDanger,"Buyer beware. At $23.88 for a 5 quart jug is a great price, but not so great for a outdated product. Mobile One is excellent oil, and as a professional automotive technician I highly recommend this oil for your car. The oil I ordered had a API service grade of SL, which was not stated clearly in the discription. A SL grade is for use in 2004 and older vehicles only. If your vehicle is 2005 or newer be sure you get an oil with a rating of SN to be sure your engine is protected. And of course all quality petroleum manufactures of oil, including Mobile One, produce these advanced lubricants.","Reviewed in the United States on July 30, 2015",,
Not really 5 quarts,1.0 out of 5 stars,steveinmd,Been using advanced fuel economy 0w20 for years. Switched to extended due to supply chain issues and both bottles I ordered were at least .75 quart low. I have reached out to Mobil 1 and they have yet to respond. YMMV,"Reviewed in the United States on November 8, 2022",,
"Not the right oil which is shown here, they do the bait and switch.",1.0 out of 5 stars,Jc Denton,"Not extended performance.  Sold me high mileage, which is not what has been advertised here.  Why can't these sellers get a single order correct, seems like they just can't get anything right.  Two orders in a row are wrong.","Reviewed in the United States on September 5, 2022",,
Arrived open,1.0 out of 5 stars,Bought this thing,Product arrived opened and missing some oil.,"Reviewed in the United States on April 22, 2023",,
it does not fit. it is tiny,1.0 out of 5 stars,Rachel,"useless, tiny not good does not fit","Reviewed in the United States on April 19, 2023",,
Great for Audi,1.0 out of 5 stars,helpful 4 u,Product came leaking from the top,"Reviewed in the United States on April 4, 2023",,
"Containers leak, bad thread seal and loose foil seal.",1.0 out of 5 stars,Shaunagain,"Terrible Packaging, poor container design. The box had oil-saturation due to the 5 qt container leaking. Top was not screwed tightly, however upon checking found that the top will endlessly run without engaging tightly. Below the threaded lid is a foil seal - which is sealed loosly - allowing oil to spill. I'm sure the oil is a good product however the container is entirely inadequate and allows spillage during shipping. In addition packaging was minimal which also allowed the container to be bumped around probably causing more spill issues. Not only bad packaging but an environmental threat. Fix this Mobil one, ever container is a mini Exxon Valdez polluting with leaking oil.","Reviewed in the United States on March 28, 2016",,
Very good oil,1.0 out of 5 stars,jim black,Good product,"Reviewed in the United States on April 11, 2023",,
It’s oily,5.0 out of 5 stars,Peepeenello,And slippery,"Reviewed in the United States on July 13, 2023",,
Best price,5.0 out of 5 stars,Lucas,I’ve been buying my oil for my 2011 Toyota Camry here for years.,"Reviewed in the United States on July 2, 2023",,
Used in my Ford Powerstroke Diesel.,5.0 out of 5 stars,Michael Broglin,"I have been using this oil for years now and have had great success with it. No problems with my injectors like other have had, and this was the best price I found for it.","Reviewed in the United States on June 26, 2023",,
Good oil,5.0 out of 5 stars,Justin,"What can I say? I’ve ran this oil in my 01 GMC Sierra most of its life. It has 345k miles on it now and still going strong. Is it because of the synthetic oil?…I do believe so. I also change the oil every 5k miles(I know that’s overkill). Oil is cheap compared to a new motor. Just buy this oil, you can’t go wrong with it.","Reviewed in the United States on June 11, 2023",,
It works well,5.0 out of 5 stars,Dawny,Oil was changed on my Honda Odyssey.  It has been working well so far. Good deal.,"Reviewed in the United States on July 3, 2023",,
good value,5.0 out of 5 stars,apple pie,motorcycle oil.  great value,"Reviewed in the United States on July 13, 2023",,
best around,5.0 out of 5 stars,Amazon Customer,great oil for a turbo,"Reviewed in the United States on July 20, 2023",,
Perfect,5.0 out of 5 stars,Ivan Corral,"Cheapest than the stores, well packaged, I’m satisfied with my purchase. I will buy with the same seller on my next service. Recommended.","Reviewed in the United States on July 4, 2023",,
