title,rating,username,description,date,image_urls,asin_number
OEM oli,5.0 out of 5 stars,Amazon Customer,You just can’t go wrong with using OEM oil that the manufacturer suggests,"Reviewed in the United States on August 12, 2023",,
Does what it’s supposed to do,5.0 out of 5 stars,Stylin’,"Not much to say, it’s oil. Engines like oil. Feed them fresh oil every year and they are happy.","Reviewed in the United States on August 5, 2023",,
Oil,5.0 out of 5 stars,John H Younker,"Good price,Awesome  product","Reviewed in the United States on August 1, 2023",,
Fantastic Oil for my Centurion!,5.0 out of 5 stars,Chris Kelly,Have use this oil exclusively in my 2008 centurion avalanche C4 For the past 10 years. Performs well.,"Reviewed in the United States on July 14, 2023",,
It's oil,5.0 out of 5 stars,GWP,It's oil.  What more can you say,"Reviewed in the United States on July 15, 2023",,
Good product.,5.0 out of 5 stars,Drewscapes,Will buy again.,"Reviewed in the United States on July 16, 2023",,
Good,5.0 out of 5 stars,Amazon Customer,Exactly what I was looking for and couldn't get it anywhere else faster.,"Reviewed in the United States on July 2, 2023",,
"Before you buy, look on the top of your motor for oil temp specs",4.0 out of 5 stars,MMW,"Worked well, but I could have saved a little $$ and used 10W30 oil based on my region's temps. Look for your oil spec requirements on the top of your motor!","Reviewed in the United States on May 15, 2023",,
It’s the best!,5.0 out of 5 stars,Justin,It’s oil I use in my mercury outboard!  No complaint. It does what it’s suppose to.,"Reviewed in the United States on June 3, 2023",,
just what I wanted,5.0 out of 5 stars,Dan Galloway,perfect,"Reviewed in the United States on June 2, 2023",,
