title,rating,username,description,date,image_urls,asin_number
What I ordered,5.0 out of 5 stars,colleen Doyle,"It's what I ordered, it took a lot longer to receive than it said it would when I originally ordered it tho","Reviewed in the United States on August 11, 2023",,
Oil Change,5.0 out of 5 stars,Abby ,Great mileage,"Reviewed in the United States on July 22, 2023",,
Oil,5.0 out of 5 stars,A. E.,Good and cheap,"Reviewed in the United States on June 15, 2023",,
Good price!,5.0 out of 5 stars,Miks,"The rest of Full Synthetic 0W-20  are at $28+ at the moment, for $22 this is not a bad buy, good to stock up. Good oil, always used Quaker State on my Jeep & Mazda. Jeep's 16yrs old - no engine problem (knock on wood) been using Full Synthetic the last 12yrs.","Reviewed in the United States on May 3, 2023",,
Just what I ordered,5.0 out of 5 stars,edward hansen,5/20 full synthetic,"Reviewed in the United States on June 7, 2023",,
Great product,5.0 out of 5 stars,Richard Palmateer,Great oil for the price,"Reviewed in the United States on May 31, 2023",,
Its Quaker State!!,5.0 out of 5 stars,Ian M.,Not much to say but this brand has the test of time behind it's proven quality!! Will buy again.,"Reviewed in the United States on May 15, 2023",,
Most excellent synthetic oil!!,5.0 out of 5 stars,Bustd1,Been using it for years never had an issue. This is an outstanding oil. Highly recommended,"Reviewed in the United States on February 21, 2023",,
all was good as expected,5.0 out of 5 stars,DH,all was good.......  thanks amazon,"Reviewed in the United States on January 17, 2023",,
The best price on oleaginous goo,5.0 out of 5 stars,E. Ware,"for your engine, or anything else.","Reviewed in the United States on October 27, 2022",,
