title,rating,username,description,date,image_urls,asin_number
Perfect for honda mower,5.0 out of 5 stars,Amazon Customer,"Always the best. No fuss, no measuring, and reliable.","Reviewed in the United States on July 15, 2023",,
Handy size.,5.0 out of 5 stars,Soultrain,Even though this isn’t the least expensive way to buy Honda oil I prefer it because it is the exact amount (12 ounces) that my Honda mower requires when I change the oil myself,"Reviewed in the United States on June 27, 2023",,
Works fine,5.0 out of 5 stars,Johnny cook,So far so good.,"Reviewed in the United States on July 14, 2023",,
Good,4.0 out of 5 stars,Kindle Customer,As advertised,"Reviewed in the United States on July 14, 2023",,
Lasts a long time,5.0 out of 5 stars,Brian Propst,I just recently changed the oil in my lawnmower and couldn't remember the last time I had changed it. I do regular maintenance on most of my equipment but since I retired time gets away from me. When my lawnmower started acting up I replaced all replaceable parts including the oil. This oil worked perfectly.,"Reviewed in the United States on June 5, 2023",,
Right product for my mower,5.0 out of 5 stars,Hiram  W. Springer IV,Correct oil for my Honda mower.,"Reviewed in the United States on May 31, 2023",,
Honda Oil,5.0 out of 5 stars,DR,Easy to pour!,"Reviewed in the United States on May 25, 2023",,
Quality product,5.0 out of 5 stars,Amazon Customer,"works as described, price is high, but oem always is.","Reviewed in the United States on May 7, 2023",,
Works as described,5.0 out of 5 stars,Geoff West,Works as described,"Reviewed in the United States on March 28, 2023",,
Use as directed,5.0 out of 5 stars,Adam,"I love my power washer, wouldn't risk knock off from auto parts store.","Reviewed in the United States on February 1, 2023",,
