title,rating,username,description,date,image_urls,asin_number
Great,5.0 out of 5 stars,Amazingrace,Used this to lube my intermediate steering shaft in my sienna. It was making a chunk when I turned thee steering wheel this eliminated the noise that was Cause by the manufacturers grease drying and causing play in the splines . Great buy!,"Reviewed in the United States on August 3, 2023",,
The best oil for firearms,5.0 out of 5 stars,John S.,This stuff is fantastic! Makes firearms run even better. The only I will use.,"Reviewed in the United States on August 17, 2023",,
Great lube,5.0 out of 5 stars,Michael R.,"Love the fact that is not only a great lube, it Also gives a precision 💉 were your can apply it were it's needed with out the mess or waste. Will recommend💯","Reviewed in the United States on August 2, 2023","https://m.media-amazon.com/images/I/714pFlwsGDL._SY88.jpg
https://m.media-amazon.com/images/I/71QqGYTVUOL._SY88.jpg",
Very Small Bottle,5.0 out of 5 stars,Bob in Vegas,The Gun Oil works great. The bottle is smaller than expected for the money.,"Reviewed in the United States on August 12, 2023",,
Small amont goes a long way,5.0 out of 5 stars,David,Gave this to my grandson as a gift. He likes this product and uses it after cleaning his rifle.,"Reviewed in the United States on August 1, 2023",,
Bought as a gift,5.0 out of 5 stars,Maryli E. Sisson,Thought it would be a bigger bottle. Is a gift and will be used I’m sure.,"Reviewed in the United States on July 26, 2023",,
Love the needle tip applicator,5.0 out of 5 stars,Alejandro Schubert,Love the needle tip applicator,"Reviewed in the United States on July 28, 2023",,
Super lubey,5.0 out of 5 stars,Bryan Smiley,This oil is phenomenal. It is super slick and gets in those crevices. The drip tip makes it easy to ensure you are using just enough and not over juicing. I’ve had that issue with other bottles. This is an excellent product. Will definitely be purchasing more.,"Reviewed in the United States on June 30, 2023",,
My favorite oil for friction points,5.0 out of 5 stars,Hugues,"Right balance of thickness for friction points (bolt, rails etc). Applies very easy abd accurate. Wouldn’t change oil in the future.","Reviewed in the United States on July 11, 2023",,
Smooth,4.0 out of 5 stars,Gary &#39;,Cleaned  my pistol and used Lucas oil and I can rack the slide much easier,"Reviewed in the United States on June 20, 2023",,
