title,rating,username,description,date,image_urls,asin_number
Genuine Honda oil at a great price,5.0 out of 5 stars,Mountain Trails,Honda oil came with my lawnmower so that's what I use now!  No generic substitutes!  Came in a nice sealed bag.  Change your oil regularly!,"Reviewed in the United States on August 4, 2023",,
Perfect for lawnmower!,5.0 out of 5 stars,Spencer,Bought for my lawnmower. It does a great job keeping the engine lubricated,"Reviewed in the United States on July 21, 2023",,
Quality oil,5.0 out of 5 stars,Donald Collie,Lawn mower and generator,"Reviewed in the United States on July 17, 2023",,
Good,5.0 out of 5 stars,Spleecho,It was genuine Honda oil and does the job,"Reviewed in the United States on July 10, 2023",,
It's Honda,5.0 out of 5 stars,Placeholder,Use for camping generator,"Reviewed in the United States on July 2, 2023",,
It’s oil,5.0 out of 5 stars,Vincent weaver,Used to change oil in Honda 13 hp pressure washer engine.,"Reviewed in the United States on June 22, 2023",,
Honda Pil,5.0 out of 5 stars,Mark,As expected,"Reviewed in the United States on June 30, 2023",,
OEM oil,5.0 out of 5 stars,Tool Man,Sometimes it's best to stick with the OEM recommendations.,"Reviewed in the United States on June 18, 2023",,
Honda recommends this,5.0 out of 5 stars,Dennis H.,My Honda runs like new 15 years later.  I only use Honda oil,"Reviewed in the United States on April 23, 2023",,
Perfect,5.0 out of 5 stars,David Harbour,Worked good in my lawnmower,"Reviewed in the United States on April 5, 2023",,
