title,rating,username,description,date,image_urls,asin_number
All oil comes from the same places,5.0 out of 5 stars,Levi Manalli,"It was at a good price, and was exactly what I needed","Reviewed in the United States on August 9, 2023",,
GOOD OIL,5.0 out of 5 stars,Nate's Shop,"Fast shipping, good product, Fair price","Reviewed in the United States on August 14, 2023",,
"Good oil, improperly packed",4.0 out of 5 stars,JM-GM,"The Shell Rotella survived the improper packing of the Valvoline 1 gallon jug. Amazon needs to pack the individual jugs in plastic.  Anyways, The shell was priced cheaper than I could source locally when i needed it.","Reviewed in the United States on August 2, 2023",https://m.media-amazon.com/images/I/71eSlbSlSUL._SY88.jpg,
Great Oil!,5.0 out of 5 stars,LeeannaB,We put A LOT of miles on our trucks and go through about 3 gallons of this every couple months! No issues!,"Reviewed in the United States on July 30, 2023",,
Great value,5.0 out of 5 stars,LP,Walmart’s shelf was empty. When I looked on Amazon I found what we needed at a better price.,"Reviewed in the United States on July 21, 2023",,
Great product / good price,4.0 out of 5 stars,Joan C Siegrist,"the 15/40 Diesel oil is a great oil for any air-cooled engine that has to pump out a lot of power - like a pressure washer, lawn mower or garden tractor.  Good oil at a great price.","Reviewed in the United States on July 22, 2023",,
Good oil,5.0 out of 5 stars,Koi farmer,Great for diesel s.,"Reviewed in the United States on August 2, 2023",,
Oil,5.0 out of 5 stars,John H Younker,Awesome,"Reviewed in the United States on August 1, 2023",,
Great oil .,5.0 out of 5 stars,Danny Holt,Great product.,"Reviewed in the United States on July 10, 2023",,
great,5.0 out of 5 stars,Donald Carr,l used it in 2210 John Deere,"Reviewed in the United States on July 7, 2023",,
