title,rating,username,description,date,image_urls,asin_number
"T6, what more could you want?",5.0 out of 5 stars,Claudia Zyskowski,"Sure, you could buy more expensive oils, but it's what's recommended in my truck and it's a good price. I can't complain.","Reviewed in the United States on August 14, 2023",,
Good motor oil,5.0 out of 5 stars,Who cares,Very good solid product. I would recommend using it. I use it all the time when I’m performing flushes and I can say it is as thick as 5w40 supposed to be.,"Reviewed in the United States on August 4, 2023",,
The only full synth name brand 15W-40,5.0 out of 5 stars,R. Dunaway,"I'm going to come right out and say I prefer Mobil 1 synth for oil.  However, all Mobil 1 has is the 5w-40 in full synth.  This is the only name brand 15W-40 I can find for my Duramax diesel.  Works well.  No engine issues.  Comes out looking almost as clean as when it went in.","Reviewed in the United States on July 11, 2023",,
Diesel Oil - Full Synthetic,5.0 out of 5 stars,Bryce Koslan,Oil for my 2018 F-350 6.7L diesel.,"Reviewed in the United States on August 8, 2023",,
use in my susbaru,5.0 out of 5 stars,ROD,cost,"Reviewed in the United States on August 12, 2023",,
I ALWAYS use shell Rotella Synthtic oil,5.0 out of 5 stars,stuart,"I use this oil in virtually everything that I own. My diesel tractor but also my cars (15w40 for my gasoline pickup truck with 150,000 miles on the engine and still going!  It even has the right certification for my Polaris ATV with a wet clutch and my KTM racing dirt bike.  I use extended oil changes and it works great on everything.  My lawnmower needs SAE30 only, or it would use this product too!","Reviewed in the United States on June 30, 2023",,
15w-40... Not 5w-40,5.0 out of 5 stars,Kyle Edwards,"Great summer oil. Will be switching back to 5w once winter gets here, but really happy that Rotella started finally making a thicker oil in Synthetic!","Reviewed in the United States on July 27, 2023",,
Best on the market,5.0 out of 5 stars,Dean,If you need to put oil in your diesel truck this is the stuff.,"Reviewed in the United States on August 1, 2023",,
It’s oil.,5.0 out of 5 stars,Dean Misner,It seems to work.,"Reviewed in the United States on August 5, 2023",,
Oil,5.0 out of 5 stars,George Lovely,It’s oil. It does what it does,"Reviewed in the United States on July 30, 2023",,
Counterfeit?,1.0 out of 5 stars,Rob,Word of advice.  And take this with a grain of salt.  99% of all T6 I buy have a foil seal under the cap.  This was the first time I received it without this and after research I've found that there are shady people who refill these containers with cheap stuff.  It poured out like 5w30.  It emptied out a container much faster than normal.  Looked like 5w 30.,"Reviewed in the United States on October 1, 2019",,
only received 2 out of 3,1.0 out of 5 stars,Shelli Potts,I only received 2 out of 3 gallons.  This is not cheap.  I emailed about the discrepancy when I received my order but have heard nothing,"Reviewed in the United States on November 1, 2022",,
Holes in containers leaked everywhere,1.0 out of 5 stars,Joe,Arrived with holes in oil containers and leaked oil all over my house,"Reviewed in the United States on February 25, 2023",,
Oil,1.0 out of 5 stars,Larry schroeder,Oil leaking,"Reviewed in the United States on April 12, 2023",,
Amazon replacement policy BAD,1.0 out of 5 stars,Greg ,"Great product if you can get it!
Amazon lost more than half of the order and cannot replace it! In my business, if I screw something up, I fix it at any cost.  Apparently, that is not the policy at Amazon.","Reviewed in the United States on March 11, 2022",,
Double the price,1.0 out of 5 stars,bhvinva,Was not paying close enough attention to purchase. About an hour after I made the purchase I realized I was paying double the price. Tried to cancel the purchase for 2 days but could not. Returned immediately upon delivery.,"Reviewed in the United States on March 4, 2022",,
False hopes and leaky jugs,1.0 out of 5 stars,Matt,"Ok oil for 6.0 powerstroke, it does last the recommended 5,000 miles between oil changes, got the three pack case because of price and mail in rebate. BEWARE! The rebate doesn’t work on cases and these didn’t have the my miles code under the caps either. They all arrived in good shape (only one was leaking a little) I’ll probably choose a different oil from somewhere else from now on.","Reviewed in the United States on May 29, 2019",,
Not as expected,1.0 out of 5 stars,Dr. Travis A. Perkins,Not as expected,"Reviewed in the United States on January 27, 2023",,
Not full gallon.,1.0 out of 5 stars,Amazon Customer,Purchased 3 one gallon t6.  Not one was full. One gallon was 1qt short.,"Reviewed in the United States on October 4, 2022",,
"Difficult, misleading rebate",1.0 out of 5 stars,Stv,"Misleading and extremely difficult rebate process. After going through much trouble finding and submitting the information needed for the rebate, we found that when purchased through Amazon, you are only eligible for one rebate on one gallon (7$) when we were expecting the 35$ rebate.","Reviewed in the United States on July 12, 2021",,
Good Price,5.0 out of 5 stars,Glenn B,"I bought 3 gallons, delivered quickly without any issues, decent price.","Reviewed in the United States on January 29, 2023",,
Awesome oil for the money,5.0 out of 5 stars,Amazon Customer,"I use it in my 2004 sport trac plow truck with 350,000 miles. I been running this for years. Price very well, I also use motorcraft filters","Reviewed in the United States on December 28, 2022",,
2001 Ford F-250 7.3L 4 door 4x4.,5.0 out of 5 stars,Jim,"Been using this oil for about 5 years now in my truck.  I still change my oil every 3k so I'm really not putting this stuff to the test all that much but I've been happy with it.  I used to run the motorcraft 15w40 and after I switch to this I really didn't see too much of a change.  Starts up a little faster in the winter maybe but my truck has never had issues with colds starts either way.  I'm running a GTP38R turbo with some DP-tunes and a host of other small mods.  Still have stock fuel injectors for now, though so nothing is turned up too high.  I've read where some folks swear that this oil causes leaks but I never have had any issues with that at all.  I know sometimes a thinner synthetic will make leaks a little more noticable but that's not the oils fault.  All and all I like it and will keep using it.  A higher quality oil might be better if you're really trying to push those oil changes to 15k+ but I'd rather just run keep me oil fresh and clean.  Also, I've tried must overy oil filter out there and have settled on the Wix-XP.  seems to work good with this oil.
Keep them 7.3L's healthy!","Reviewed in the United States on August 4, 2019",,
Great stuff,5.0 out of 5 stars,Jacob,"I have a 2014 yz450f dirtbike that I have been using this oil in for 5 hours, give or take. Blown head gasket had coolant getting into my oil for all of those hours before fixing it, changing oil every time I parked my bike, milky white color every time, but no noticeable damage or rust and it held up great. Nothing bad to say about it. Cheaper than the recommended Yamalube for my bike so I am getting into the habit of changing oil after every ride or 3-5 hours. It has the Jaso certification and can be used for wet-clutch applications (doesn’t have anti-friction additives), so it is great for my bike. I won’t say it’s better than Yamalube, but at the right weight, it will do just as good as other oils in terms of lubrication and such, but may get worn out faster in the transmission, as the transmission shares oil with the clutch & crankcase, so I change it very often so the cheaper price is perfect.","Reviewed in the United States on December 20, 2020",,
Worth the long wait,5.0 out of 5 stars,John T,I had to wait several months for shipping but I got it at the normal per gallon rate rather than the $50 plus the locals are charging.  This is all I use in my 6.0 plus Archoil.,"Reviewed in the United States on November 27, 2022",,
Has Worked Great for my Honda GoldWings!,5.0 out of 5 stars,Michael Green,"I've used T6 for years and a couple hundred thousand miles and a few different GoldWings.
This product includes an additive package that doesn't interfere with wet clutch operation and even close to the factory recommended 8K change limit, shifting is still silky smooth. No other oil I've used performs like that. Highly recommend!","Reviewed in the United States on October 13, 2022",,
T6-diesel oil,5.0 out of 5 stars,Dan Brotzman,Arrived in perfect condition. Great full synthetic oil,"Reviewed in the United States on January 13, 2023",,
Works Well,5.0 out of 5 stars,Sarge,Works Well,"Reviewed in the United States on February 2, 2023",,
High quality for my truck engine I,5.0 out of 5 stars,Amazon Customer,"I've been using Rotella T6 in my truck for years.
My truck engine runs clean with the least amount of wear. And a decent price point.","Reviewed in the United States on December 1, 2022",,
If you own a deisel!,5.0 out of 5 stars,Just1click,"If you own a diesel this is the only oil you should be using! Running a diesel for over 50 years I know that Rotella is the first choice for all diesel applications.
Recommend by all diesel manufacturers.","Reviewed in the United States on November 1, 2022",,
What's the best oil?,5.0 out of 5 stars,Amazon Customer,"Ask 10 people, you'll get 10 answers.
This is all I use on my Goldwing.
Smooths shifting.","Reviewed in the United States on February 18, 2023",,
Motorcycles Love this Oil~!,5.0 out of 5 stars,Farrok,"This oil is great.  I use in my Honda 250L and it works fine.
1. It's less expensive than other top motorcycle oils. You can change the oil every 1.200 miles and not go bankrupt.
2. It meets the Motorcycle oil standards and for wet plate clutch use.
3. You can find it when you need it; sometimes you can't find strictly Motorcycle Oils when traveling in remote areas of the country.
4. Do to its reasonable cost you will change the oil on schedule. No more just a few hundred miles on the oil more to save money.
5. The engine starts easy when it's cold.
6. The engine runs very smooth at highway speeds and with less vibration (I don't know why) It just does.
7. You can buy a 3 gallon carton from Amazon for $70 dollars when the same amount of top motorcycle oil would cost you $120+ dollars.
8. It's fully synthetic oil. Why buy mineral oil when you can buy this for almost the same cost?
9. It a bargain.
10. Many Motorcyclists swear by this oil.
11. Motorcycle transmissions are much smoother with this oil. No more ""Clunks"" when shifting.
Negatives:
1. The engine will not rap up quite as fast with this oil, but a much smoother wrap up.
2. The overall performance is just slightly under the finest Motorcycle oils which cost $60 dollars a gallon.
3. If you are a racer buy the expensive motorcycle oil. If you are a ordinary rider this oil is perfect, inexpensive and available.
4. The best motorcycle oil is worthless if you can't get it.
Note: This Oil is unusual do to the following: ""This Oil has the consistency of Sirup but flows like Mercury.""","Reviewed in the United States on December 12, 2017",,
Perfect,5.0 out of 5 stars,Rebecca,Perfect,"Reviewed in the United States on March 14, 2023",,
