title,rating,username,description,date,image_urls,asin_number
Great oil at a great price,5.0 out of 5 stars,S. Warner,Three gallons for $23.52 and shipped to me.  Beat all local as well as other online pricing.  I use this in my old New Holland tractor.,"Reviewed in the United States on August 13, 2023",,
Great product as a great cost,5.0 out of 5 stars,Shawn,"Did you know you can use this oil for vintage Honda motorcycles? Well, I have four and I use this oil constantly. This price and quality is hard to beat.","Reviewed in the United States on August 3, 2023",,
Motor oil,5.0 out of 5 stars,David Shaw,Good product,"Reviewed in the United States on August 15, 2023",,
Rotella T4 15w - 40 Oil,5.0 out of 5 stars,Christopher Paul Voss,"I personaly think its a great oil,I put it in my car,truck and mopeds.theres zinc in it that is supposed to help keep your engine clean.Im happy with it.","Reviewed in the United States on July 26, 2023",,
Chicken taste better,5.0 out of 5 stars,J M,5 stars,"Reviewed in the United States on August 4, 2023",,
Shell Rotella T4 15W-40 Diesel Engine Oil,5.0 out of 5 stars,Skyhorse,"I use this oil in my tractor and I change it out every 100 hours and oil is still good when I change it out.
Amazon had the best price.","Reviewed in the United States on July 10, 2023",,
Best cheap oil to run in turbo d16,5.0 out of 5 stars,MrKidMonkey,"This oil is very economical to run in aftermarket turbo engines, keeps oil pressure up even while hot.","Reviewed in the United States on July 8, 2023",,
great oil  long life,5.0 out of 5 stars,John B. Chriswell,good quality--- have used this oil in my Kabota tractor for 20 years,"Reviewed in the United States on July 6, 2023",,
Muy bueno,5.0 out of 5 stars,roberto rodriguez,Muy bueno,"Reviewed in the United States on July 7, 2023",,
Always been quick and speedy delivery at a competitive price!,5.0 out of 5 stars,jack,"Great product, have been using this for a long time and Amazon’s price if very competitive!","Reviewed in the United States on June 24, 2023",,
