title,rating,username,description,date,image_urls,asin_number,product_url
All oil comes from the same places,5.0 out of 5 stars,Levi Manalli,"It was at a good price, and was exactly what I needed","Reviewed in the United States on August 9, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
GOOD OIL,5.0 out of 5 stars,Nate's Shop,"Fast shipping, good product, Fair price","Reviewed in the United States on August 14, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
"Good oil, improperly packed",4.0 out of 5 stars,JM-GM,"The Shell Rotella survived the improper packing of the Valvoline 1 gallon jug. Amazon needs to pack the individual jugs in plastic.  Anyways, The shell was priced cheaper than I could source locally when i needed it.","Reviewed in the United States on August 2, 2023",https://m.media-amazon.com/images/I/71eSlbSlSUL._SY88.jpg,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great Oil!,5.0 out of 5 stars,LeeannaB,We put A LOT of miles on our trucks and go through about 3 gallons of this every couple months! No issues!,"Reviewed in the United States on July 30, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great value,5.0 out of 5 stars,LP,Walmart’s shelf was empty. When I looked on Amazon I found what we needed at a better price.,"Reviewed in the United States on July 21, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great product / good price,4.0 out of 5 stars,Joan C Siegrist,"the 15/40 Diesel oil is a great oil for any air-cooled engine that has to pump out a lot of power - like a pressure washer, lawn mower or garden tractor.  Good oil at a great price.","Reviewed in the United States on July 22, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good oil,5.0 out of 5 stars,Koi farmer,Great for diesel s.,"Reviewed in the United States on August 2, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Oil,5.0 out of 5 stars,John H Younker,Awesome,"Reviewed in the United States on August 1, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great oil .,5.0 out of 5 stars,Danny Holt,Great product.,"Reviewed in the United States on July 10, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
great,5.0 out of 5 stars,Donald Carr,l used it in 2210 John Deere,"Reviewed in the United States on July 7, 2023",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_1%3FpageNumber%3D1&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Over priced !!,1.0 out of 5 stars,Chet,The price was way high,"Reviewed in the United States on December 30, 2021",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
tampered with,1.0 out of 5 stars,Daniel Szczepkowski,Gallon container was only 3/4 full and inside seal for cap was missing,"Reviewed in the United States on January 23, 2021",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Beware who ships it,1.0 out of 5 stars,Connor Kline,Product showed up damaged lost about a quart of oil good price but needs to be better packed luckily I didnt need a full 5,"Reviewed in the United States on July 10, 2018",,B01LH7LAOO,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB01LH7LAOO%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
