title,rating,username,description,date,image_urls,asin_number
Low Smoke,5.0 out of 5 stars,JR,I have used this oil in my Yamaha 200 2 stroke for the last 3 years and love it. Compression checks always stay strong for my 100 hour inspections and it doesn’t seem to smoke as much as some of the other brands.,"Reviewed in the United States on August 14, 2023",,
Good Marine Oil,5.0 out of 5 stars,Dave,Fast shipping with secure packaging.  This oil performs well.  I’ve been using Pennzoil marine oil for over 40 years with no problems.  I trust their expertise.,"Reviewed in the United States on August 10, 2023",,
good,5.0 out of 5 stars,tim n calk,this is all I have used for years.......it seems to be of good enough quality and priced much lower than some others,"Reviewed in the United States on August 11, 2023",,
Great oil at a great price!,5.0 out of 5 stars,Justin,Best oil to use in my Yamaha Ox66 at a very affordable price!,"Reviewed in the United States on August 16, 2023",,
Two Cycle Engine OIl - Good.,5.0 out of 5 stars,Man Nguyen,"Very good two cycle engine oil, engines run smooth with this oil.  Recommend to buy bulk for better price than buying individual at local store.","Reviewed in the United States on July 21, 2023",,
Good bargain,5.0 out of 5 stars,James B.,Hard to beat the price for synthetic blend,"Reviewed in the United States on August 4, 2023",,
Great Deal,5.0 out of 5 stars,M B,Gues I'll never have to buy 2 cycle oil again.,"Reviewed in the United States on July 24, 2023",,
Works,5.0 out of 5 stars,Hyco Bass,Online commentary indicated this is the best marine two cycle oil on the market. I have experienced no issues.,"Reviewed in the United States on July 1, 2023",,
Received with in a few days.,5.0 out of 5 stars,Vicki Meadows,Nice having enough for the summer,"Reviewed in the United States on June 29, 2023",,
Great value for the size.,5.0 out of 5 stars,Clovis_Guy,I use this in my diesel tractor for addition fuel lubrication with the lousy diesel we get in CA. Works great and seems to run smoother and quieter.,"Reviewed in the United States on June 5, 2023",,
