title,rating,username,description,date,image_urls,asin_number
Test results show one of the best oils in the market!,5.0 out of 5 stars,Bulgar,"Pennzoil Ultra Platinum scores very well in oil studies and tests, and for the price, you just can't beat it. The top three oils from the Project Farm test indicate Amsoil, Red Line, and Pennzoil Ultra Platinum. Pennzoil is a win for value as its much cheaper, Amsoil costs about a $100 for 6 quarts, and Red Line is somewhere around the $80s. This is around $50 and scores just as well as the other two.","Reviewed in the United States on August 19, 2023",,
OEM FAV,5.0 out of 5 stars,B,"Oh, look at this fancy motor oil! It's made from natural gas with some patented magic tech stuff. They claim it's next level performance, like I'm driving a race car on my way to work! And hey, it's carbon neutral too, so I'm saving the planet one oil change at a time. I wonder if my car will go vroom vroom faster with this Pennzoil Ultra Platinum. Plus, it's the only oil that's good enough for my SRT HEMI engines. My car's gonna feel so special with this oil in its belly!","Reviewed in the United States on July 26, 2023",,
"Good oil, om the pricey side",5.0 out of 5 stars,ckleinfeld,"This oil has a good additive profile and continually receives praise from folks well versed in oil technology.  I run it because it's the OE recommended oil for my application, and it's a good product.","Reviewed in the United States on August 11, 2023",,
Works with my 2019 Outback,5.0 out of 5 stars,Reid Family,"My 2019 Outback consumes a bit of oil between oil changes, so I always keep a couple quarts in the hatch. This synthetic oil is exactly what I need. No complaints with this oil.","Reviewed in the United States on August 17, 2023",,
Great for my hyundias,5.0 out of 5 stars,OK chief,"I use pz 5w30 for my 2017 1.6T tucson limited (4.5qts) and pz 5w20 for my 2.0 elantra limited (4.2qts). I change every 5k on the dot. Save your leftover new oil into it's own jug, at some point you'll get an extra OC. Check your capacity simple google search. It's unwise to just blindly dump the full 5qts without knowing your recommended capacity. It's typically advised to run less than more oil in general.
I wouldn't go 100k, even over 10k, without an oil change I don't care what the manufacturers claim lol. Buy your bulk filters on Amazon as well. Don't forget to replace your crush washer. I got a magnetic fill bolt to monitor any internal wear just a suggestion. Overall very pleased at performance and price, can always count on this.
Dealers charge upwards of 100$+ for an oil change these days and you never know what they use or how much.. Good thing to learn to do for yourself and peace of mind.","Reviewed in the United States on June 8, 2023",https://m.media-amazon.com/images/I/61Cw6kKXWrL._SY88.jpg,
Recommended for Hellcat,5.0 out of 5 stars,Brad's stuff,"This is the recommended fill for Dodge Hellcats, so that is what I use.","Reviewed in the United States on August 13, 2023",,
Aimsoil without the aimsoil price.,5.0 out of 5 stars,Florida Cracker,Great oil.  Pennzoil has various products in their line.  Be sure to get the Ultra platinum.  See reviews by project farm.  Amazon is the only place I can reliably find this stuff.,"Reviewed in the United States on August 2, 2023",,
Excellent,5.0 out of 5 stars,Jean Kinkade,Exactly as expected,"Reviewed in the United States on August 17, 2023",,
Best oil and Amazon is the best place to buy it,5.0 out of 5 stars,Brian M.,"I use this in my Highlander since it the most highly rated oil that's not outrageously priced (based on Project Farm testing). But it is hard to find at retail and even auto stores, especially for a reasonable price. The three pack from Amazon is, by far, the best deal I have found on it so will continue to buy it here.","Reviewed in the United States on July 8, 2023",,
Best oil for the price,5.0 out of 5 stars,Michael W,Done plenty of research on oil and this stuff is the best for the price.  Only one I trust in my vehicles,"Reviewed in the United States on July 21, 2023",,
OIL ALREADY TWO YEARS OLD,1.0 out of 5 stars,Greg,This oil had a manufacture date of AUGUST 2020 (this is June 2022) on the jugs when I received it.  Not going to put 2 year old oil in ANY vehicle I own.  Where has this oil been sitting for TWO years???????  Was it stored properly? Check the date on the bottom of your jugs (or box if 3 ct case) when you receive it!,"Reviewed in the United States on October 16, 2018",https://images-na.ssl-images-amazon.com/images/I/61YRrDZd6CL._SY88.jpg,
Not sure if this good enough for older cars with high mileage,1.0 out of 5 stars,kelvin shavers0,Now my lifters are making noise,"Reviewed in the United States on May 22, 2023",,
Damaged in route,1.0 out of 5 stars,Stephen D.,"I’m sure I would have liked this but Amazon contacted me via email and they in cured a problem in route, I assume it got damaged and they will credit back to my account. That’s why I gave it 1 star. Otherwise it would have been a 5 star.","Reviewed in the United States on June 22, 2022",,
Good product,1.0 out of 5 stars,Juan T.,"Not delivered, Returned by the carrier","Reviewed in the United States on May 13, 2023",,
Wrong Product,1.0 out of 5 stars,Juriel,,"Reviewed in the United States on May 6, 2023",https://m.media-amazon.com/images/I/81f6cKITiyL._SY88.jpg,
Missing oil from jugs,1.0 out of 5 stars,Kindle Customer,I can't use the oil soaked box !!!!,"Reviewed in the United States on April 4, 2023",,
I noticed a layer of fine silt/dirt in the bottom of the jug,1.0 out of 5 stars,Homer,"I was installing new oil from a brand new 5 qt jug in my Honda CRV.  After I emptied the new oil in the motor, I noticed a layer of fine silt/dirt in the bottom of the jug.  Whats that about?  Is Pennzoil's new oil is contaminated?????  POSSIBLE AMAZON IS SELLING ""COUNTERFEIT"" OIL???
 That cant be good for the motor.  thought I'd give this Ultra Platinum a try, but honestly I think I'm going to drain it back out and go back to Mobil 1.","Reviewed in the United States on June 2, 2018",,
Improperly Advertised,1.0 out of 5 stars,Dan,"While the item description AND the thumbnail picture both say ULTRA Platinum… it is indeed NOT ULTRA Platinum. Its just normal Platinum. Wrongly labeled, wrongly advertised and wrongly described. Do not buy.","Reviewed in the United States on July 30, 2022",,
"Great product, bad place to get it",1.0 out of 5 stars,Chuck,"I love the product but buying it here is a pain. Fist one wasn't delivered and I had to get a refund. Second on showed up but was API SN, not API SP as showed. I have previously purchased it here and received the SP grade. This is just too unreliable and unpredictable.","Reviewed in the United States on April 13, 2021",,
The oil received from this seller is 4 years old..,1.0 out of 5 stars,Long Tran,"All 3 jugs was manufactured In 2017.
Sorry but I am not going to use oil 4 year of age with an unknown condition of how it was stored in my expensive sport car.  In addition to paying a premium price for it and not being discounted.","Reviewed in the United States on June 19, 2021",,
Great oil!!! CANT FIND IT ANYWHERE ANYMORE!!!!!!!,5.0 out of 5 stars,nicholas duffy,Great oil for the price.,"Reviewed in the United States on February 14, 2023",,
Great oil hard to find,5.0 out of 5 stars,Construction worker,Great oil great price use w my 19 Ram,"Reviewed in the United States on February 2, 2023",,
"One for the $$$, 2 for show, 3 to get …",5.0 out of 5 stars,Jennifer ,Now go car! My son loves the soil he studies everything he gets for the car and finds out that this is probably one of the best oils he can get from Amazon so he kills the Amazon. It gets a lot of his stuff. Thank you very much. I mean thank you very much for having everything we need Amazon!,"Reviewed in the United States on October 9, 2022",,
Great Juice but Expensive,5.0 out of 5 stars,RD,"I run this in my 2022 Ford F150 with a 5.0 liter Coyote engine.  I expect it to last over 200,000 miles with regular changes of this oil.  I live in a harsh climate (MN) and also tow a 3,000 boat.  This is the best oil you can buy, but it is a bit spendy.","Reviewed in the United States on October 15, 2022",,
Far less noise with cold starts,5.0 out of 5 stars,Jon,The one thing that has really stood out to me with this oil is during cold starts. Far less noise coming from Mobil1 with start ups in the morning. Oil wasn’t low from the Mobil so it was an even comparison.,"Reviewed in the United States on November 14, 2022",,
Best price I’ve found,5.0 out of 5 stars,Bryan Thomas Kolzun,This is something I’m always ordering on here. I only use PUP on my vehicles.,"Reviewed in the United States on January 18, 2023",,
Exclusively for SRT,5.0 out of 5 stars,Ryan,"Engine never overheats and I replace the oil every 6 months of 6,000 miles, depending which comes first. Delivery is accurate","Reviewed in the United States on December 26, 2022",,
Best Full Synthetic Motor Oil to Date that's made from Natural Gas NOT Crude oil!!!,5.0 out of 5 stars,Newman's Reviews,"Best Full Synthetic Motor Oil to Date!!! Made from Natural Gas NOT Crude Oil. Which means very few impurities if any. Crystal clear like Mountain Spring water. Only light honey color are additives  packages.
  The best thing since sliced bread. Can't go wrong especially for the price Amazon.com sells it. Runs very smooth in combination with Shell V-Power Nitro+ and STA-BIL 360 Ethanol Engine protection Fuel Treatment on 40 PSI  of Nitrogen. Which by the way the same Nitrogen added to Shell V-Power Nitro+.
Highest content of Nitrogen in all Shell gases which what makes it such a difference after 10,000 miles.
Don't take my word, try it for yourself in disbelief to see dramatic changes. Not paid  or sponsored by Shell, Pennzoil or STA-BIL.","Reviewed in the United States on February 18, 2022",https://m.media-amazon.com/images/I/71WOev446bL._SY88.jpg,
One of the best oil out there.,5.0 out of 5 stars,AJ,"Every oil testing agencies and YT reviewers out there says this is good oil so I tried it. Car runs fine and feels like it has more kick to it when I step on it. As long as it does the job! Tried platinum, now the ultra platinum. Hope the ultra platinum goes on sale again so I can stock up on it. Check pennzoil rebates to see if they offer and rebates. They had amazon as the approved retailer for gift cards rebates and etc.","Reviewed in the United States on July 25, 2022",,
Great Motor Oil for Ford F-150 3.5L EcoBoost,5.0 out of 5 stars,Edgar,"Decided to try this engine oil for my Eco-boost after using Valvoline Modern Engine oil and Mobil 1 extended performance since it was one of the best rated full synthetic oil on the market right now. After doing my research ( I recommend doing your own research as well) I found out this motor oil is approved by FORD ( Ford WSS-M2C946-A) and is a good motor oil for Turbo applications since the Eco-boost is turbo and turbo engines are VERY hard on oils. it has better additives for wear protection, cleaner pistons, for extreme temperature protection (which is Great for turbocharged engines) and overall extreme performance.  If your're planning to use this motor oil for your Eco-boost I suggest to use either WIX XP or FRAM Ultra Synthetic oil filter for the best filtration/protection. After comparing Valvoline and Mobil 1 I've narrowed it down to Pennzoil since it has the best additives, best wear protection, best temperature protection , and all made with Natural Gas.  I will keep using Pennzoil Ultra Platinum for my Eco-boost. I highly recommend for any Ford Eco-boost owner to use this oil for your Eco-boost as well if you trying to get the best protection.","Reviewed in the United States on February 6, 2020",,
The best Dexos1 0W-20 motor oil available.,4.0 out of 5 stars,David A.,"Pennzoil Ultra Platinum now it a flashy yellow jug as opposed to the previous black container.
This oil is probably one of the very best Group III (petroleum based synthetic) motor oils on the market, not so sure that it is worth the extra $ over the non-Ultra Platinum oil in the long run as it's only benefit is that Pennzoil states the Ultra keeps the inside of the engine 25% cleaner.
This oil does not compare with Ester based synthetic oils but only a few 0W-20 oils are like Redline, Motul 300V and a few others.
Many people mistakenly believe that Amzoil is a PAO or Ester based synthetic motor oil but their line is just Group III as well and none even carry the Dexos1 certification.
I held back 1 star because this oil can be hard to source at times and it is a very expensive Group III synthetic oil.
My general take is that if you own a newer GM product that specifies the use of 0W-20 this oil is probably the very best product available that is Dexos1 licensed and you certainly cannot go wrong with it.","Reviewed in the United States on June 14, 2017",,
Good oil but there is better,4.0 out of 5 stars,Sven,"I used PUP in my 2015 for 2 Oil changes both with fresh OEM filters/ Following I switched over to Liqui Moly Top Tec 4200 and now will never go back to PUP. I found that my factory tips would still develop soot using PUP and I was changing the oil at 3500 miles. With Liqui Moly Top Tec 4200 5w30 I have no issue at all with sooty pipe tips and find the oil to be better, waiting on an analysis to return. I am paying approx 79-82 for 10 litres so it is a tad more costly but I believe it is better oil and can run longer between OIC's","Reviewed in the United States on November 2, 2016",,
Price Was right ---,4.0 out of 5 stars,George A.,Price Was right ---Was but at this Price and a GRP 3 Fake Synthetic Oil will buy Amsoil,"Reviewed in the United States on February 18, 2021",,
Good,4.0 out of 5 stars,Benjamin Strohecker,Good cheap oil better than getting it at auto zone.,"Reviewed in the United States on July 21, 2021",,
Good stuff but not amsoil,4.0 out of 5 stars,Pitty,Amsoil signature series with preferred customer program is only the same price for 6 quarts and its the best oil there is. Dont get me wrong this stuff is good but amsoil is better,"Reviewed in the United States on March 26, 2017",,
Its a good oil in the market,4.0 out of 5 stars,Amazon Customer,"Its a good oil in the market. I like it
I believe honda oil fully synthetic is better for my car.","Reviewed in the United States on October 26, 2017",,
Ultra Platinum,4.0 out of 5 stars,Duane,Great Oil just priced way to high so only four stars,"Reviewed in the United States on August 11, 2018",,
