title,rating,username,description,date,image_urls,asin_number
I mean it’s oil- what do you need to know?,4.0 out of 5 stars,Graytee73,"OK the only reason I gave it for stars instead of five as it does not have an easy pour spout. Other than that it’s oil no different than any other oil out there that I know of if you could tell me there’s something special about it please let me know. My car has almost 140,000 miles on it. It’s a 2008 Toyota this as a Great price point so I have purchased this oil on a few occasions, and as long as the price point is better than the others, I will continue to purchase it even if a small amount is missed due to the lack of a spout, but then again, I could just buy a funnel","Reviewed in the United States on August 4, 2023",,
Did the job,5.0 out of 5 stars,Steffen,It did the job. I needed it for an oil change and it was fine.,"Reviewed in the United States on August 10, 2023",,
It’s oil,5.0 out of 5 stars,Brandon,It did it’s oil thing like oil should. Nice to not have to buy the quarts.,"Reviewed in the United States on August 7, 2023",,
Excellent product!!!!,5.0 out of 5 stars,ISH,"This is an excellent product, 100% recommended!!!!!","Reviewed in the United States on July 22, 2023",,
Good oil; great price,5.0 out of 5 stars,Cindy Johnson,I have bought this product a few times now--it's a great price for synthetic blend oil in a dependable name brand.,"Reviewed in the United States on July 10, 2023",,
Its fine.,4.0 out of 5 stars,L. Stevens,Just remember its not a full synthetic but the price reflects that.,"Reviewed in the United States on June 26, 2023",,
Oil,5.0 out of 5 stars,Kristie Bunnell,It's oil what else. Can I say,"Reviewed in the United States on July 11, 2023",,
Great price,5.0 out of 5 stars,Michael M.,Works great,"Reviewed in the United States on July 16, 2023",,
"Great deal , Nice oil",5.0 out of 5 stars,mitchm,"Very good price , delivered.  Nice oil","Reviewed in the United States on June 30, 2023",,
Ok,5.0 out of 5 stars,Ashley,Ok,"Reviewed in the United States on July 1, 2023",,
