title,rating,username,description,date,image_urls,asin_number
Great oil!,5.0 out of 5 stars,Todd Doyle,I absolutely love this oil.  Easy to pour gallon containers make it easy to use without a mess.,"Reviewed in the United States on July 6, 2023",,
Acceptable oil,4.0 out of 5 stars,KAW,"Good oil for 5w-40 diesel specs. Amazon delivery service did not meet their Prime delivery date, it was late.","Reviewed in the United States on May 27, 2023",,
Good performer!,5.0 out of 5 stars,Pedro A. Rendon,"I have been using it on a new Crdi Diesel and a 22 year old Toyota Land Cruiser Prado 3.0 TD, works well on both , 7,000 miles without any issues., Totally recomended.","Reviewed in the United States on April 16, 2023",,
It's oily,5.0 out of 5 stars,JUSTIN T BEHR,It's the oil my truck needs.  Showed up in good shape.,"Reviewed in the United States on May 9, 2023",,
Valvoline 5/40,5.0 out of 5 stars,MJ,Excellent oil. Shipped fast.,"Reviewed in the United States on May 13, 2023",,
Came a day late,5.0 out of 5 stars,noah,Correct oil no damages,"Reviewed in the United States on April 24, 2023",,
Leaking oil,5.0 out of 5 stars,curt miller,Oil containers were not damaged but leaking oil from all 3 lids.  The shipping box was not damaged or torn open and was sealed properly.,"Reviewed in the United States on March 12, 2023","https://m.media-amazon.com/images/I/71WSGA6Pf6L._SY88.jpg
https://m.media-amazon.com/images/I/81wqa7Uo5iL._SY88.jpg
https://m.media-amazon.com/images/I/91TEBJ9NQOL._SY88.jpg",
Busted but replaced,4.0 out of 5 stars,Misty greenAmazon Customer,Busted and leaked out. Update-Amazon refunded so all is good,"Reviewed in the United States on December 22, 2022","https://m.media-amazon.com/images/I/71+8GHvr+GL._SY88.jpg
https://m.media-amazon.com/images/I/71HX8SJpgFL._SY88.jpg",
No need to search!,5.0 out of 5 stars,Amazon Customer,"I only use the best products for my vehicles. This is the only oil recommended by Cummins and it is superiors to others. Many retailers do not carry it, and it is so concenient to have it delivered to my door when I anticipate the need for an oil change.","Reviewed in the United States on December 12, 2022",,
Excellent all weather protection.,5.0 out of 5 stars,Amazon Customer,"Starts ore easily in winter, good heat protection in the summer for my
Cmmins Diesel.","Reviewed in the United States on February 6, 2023",,
