title,rating,username,description,date,image_urls,asin_number
"Low smoke, doesn't smell",5.0 out of 5 stars,v8gee,I have run dozens of these little guys through a 1993 6hp Johnson outboard over the past 8 or 9 years. It doesn't create a lot of soot and the plugs look great. Very convenient to drop one bottle into a gallon gas can for the proper mix.,"Reviewed in the United States on July 26, 2023",https://m.media-amazon.com/images/I/71gM318caCL._SY88.jpg,
Good price,5.0 out of 5 stars,Amazon Customer,It's  50:1 2 cycle oil. What's to be said.,"Reviewed in the United States on August 13, 2023",,
Simplicity and value,5.0 out of 5 stars,MountainHawk,It's a no brainer. Get a 1 gallon gas tank put a gallon of gas in it and add one of these bottles to it and mix it up a little! Plus once you see how much a single bottle costs at a big box home improvement store you will always buy these in bulk. Runs in all my saws nicely!,"Reviewed in the United States on July 11, 2023",,
Weedwhacker mix,5.0 out of 5 stars,Bob,Cheap and arrived promptly,"Reviewed in the United States on August 7, 2023",,
Works as adverty,4.0 out of 5 stars,Patrick Young,"My blower worked as it should, couldn’t tell if there was an improvement.","Reviewed in the United States on July 13, 2023",,
Convenient sizes,5.0 out of 5 stars,GGrazorman,I liked th comment premeasured sizes and got a pretty good price.,"Reviewed in the United States on July 8, 2023",,
Condition,5.0 out of 5 stars,Rosemary Horsman,Perfect,"Reviewed in the United States on May 28, 2023",,
Perfect measure,5.0 out of 5 stars,Amazon Customer,"Great product. A little pricey, but like the pre-measurement","Reviewed in the United States on May 3, 2023",,
Use it Faithfully,5.0 out of 5 stars,Pedalmybike,All 2 cycle machines get this. Good price,"Reviewed in the United States on May 2, 2023",,
2 cycle motor oil,5.0 out of 5 stars,Bobbie Ferguson,Worth the money. Will buy again.,"Reviewed in the United States on April 30, 2023",,
