title,rating,username,description,date,image_urls,asin_number
That exact oil,5.0 out of 5 stars,Dan E Krupp,This is the exact oil that my evinrude outboard  calls for. Slightly cheaper than the dealership and fast delivery.,"Reviewed in the United States on August 16, 2023",,
Great Outboard Oil,5.0 out of 5 stars,Zim5,"Great oil for my Evinrude. No smoking or build up of carbon. Not cheap, but good for your outboard.","Reviewed in the United States on August 11, 2023",,
My 200 HO says thank you,5.0 out of 5 stars,Amazon Customer,"Oil is fine.
Jut takes a few days to deliver.
Do not expect a miriacle if you are in a rush","Reviewed in the United States on July 28, 2023",,
Nice to be delivered and came quickly.,5.0 out of 5 stars,KAREN L.,This is the exact oil for our etec motor. The delivery was quick and easy.,"Reviewed in the United States on July 30, 2023",,
Great quality—we use it in our Benny!,5.0 out of 5 stars,Scott Westbrock,This is all we will buy and use in our Bennington Tritoon.,"Reviewed in the United States on July 22, 2023",,
Great price,5.0 out of 5 stars,Lonnie J Wagner,Lower price than local marina.,"Reviewed in the United States on July 4, 2023",,
it works as advertised,5.0 out of 5 stars,Richard H. Kelcey,fast shipping and as advertised,"Reviewed in the United States on June 30, 2023",,
Received on time,3.0 out of 5 stars,LHF,"Convenient to order and appears to be quality oil as recommended by manufacturer of outboard motor. But, expensive!","Reviewed in the United States on August 11, 2023",,
Great!,5.0 out of 5 stars,Dalton F.,Product arrived quickly and in a secure package keeping the oil jug from damage in transit. I’ll buy again,"Reviewed in the United States on April 22, 2023",,
OEM,5.0 out of 5 stars,Zoran,Gives you a little extra out if it. OEM makes sense.,"Reviewed in the United States on August 20, 2022",,
