title,rating,username,description,date,image_urls,asin_number
"It's engine oil, what can you say",5.0 out of 5 stars,T Allen,"Expensive, probably a bargain brand in a Kawasaki bottle. Who knows, but it covers my warranty and 5 quarts I can do two oil changes. 2.5 quarts per change.","Reviewed in the United States on August 10, 2023",,
Kawasaki oil,5.0 out of 5 stars,TIM HARRIS,Excellent products highly recommend.I will continue to buy all my genuine oem products from this company.,"Reviewed in the United States on July 24, 2023",,
Oil,5.0 out of 5 stars,Danny,Oily,"Reviewed in the United States on August 3, 2023",,
Great price and more!,5.0 out of 5 stars,Sandy,"I was very happy to receive this oil in packaging that was leak and damage proof!  Great product, great price and great packaging!!","Reviewed in the United States on July 12, 2023",,
It is what is say's it is.,5.0 out of 5 stars,Jake,Good oil for my mower.,"Reviewed in the United States on June 21, 2023",,
Fast and well packaged,5.0 out of 5 stars,Wes Rhodus,No complaints,"Reviewed in the United States on June 8, 2023",,
As expected,5.0 out of 5 stars,Jim Z.,Quick service ... everything as expected. Keep up the good work.,"Reviewed in the United States on May 24, 2023",,
Right oil for my motor,5.0 out of 5 stars,Chickenlegs ,"I like the convenience of the kawasaki oil in quarts,I’ve used synthetic oils for years,but my motor was using oil and leaking, I did read that synthetic oils will cause that,seen kawasaki was synthetic blend which is recommended for kawasaki,so figured I’d try it out","Reviewed in the United States on April 22, 2023",,
Good Deal!,5.0 out of 5 stars,Stephen L Fried,This was a good deal on oil that I purchased for my Yamaha!,"Reviewed in the United States on May 10, 2023",,
Item as described,5.0 out of 5 stars,Steve S ,I wanted oem and got OEM...so item as described,"Reviewed in the United States on April 6, 2023",,
