title,rating,username,description,date,image_urls,asin_number
Great oul,4.0 out of 5 stars,karen johnson,Great for lawnmowers,"Reviewed in the United States on October 16, 2022",,
For our lawnmower,4.0 out of 5 stars,Alison Kaufman Rease,Nothing exciting. It’s for the lawnmower,"Reviewed in the United States on September 30, 2022",,
Sirve para la planta eléctrica.,5.0 out of 5 stars,Maddie1980,"Llegó muy rápido  antes del huracán.
Nos alegró mucho.","Reviewed in the United States on November 8, 2022",,
Good oil,5.0 out of 5 stars,Rasheed,I would buy again,"Reviewed in the United States on September 23, 2022",,
Mower tune up,5.0 out of 5 stars,Sotto voce,As advertised. OEM recommended. Nothing's come apart.,"Reviewed in the United States on May 23, 2022",,
Good stuff,4.0 out of 5 stars,Tells Changed,"Good stuff,fights hard engine starts,drives out corrosion caused from carbon,cleans entire fuel system,removes moisture.after gets worked up in system notice immediate results.did u'r engine start hard, I will see differnce,pu,uuuum....meaning engine kicked in started same second turn key.","Reviewed in the United States on April 25, 2021",,
Filler neck is reusable,5.0 out of 5 stars,Sheperd d,I love the filler neck it fits tight without leaks and fits other brands as well so hold onto it.,"Reviewed in the United States on May 12, 2021",,
STP makes good stuf.,5.0 out of 5 stars,Mark  Bryant,"Works a good as sea come at 12.99 a can, but I remember when sea foam was 3.49 a can, STP has been around a long time sea foam, just 10-15 years but it is good stuff to, now gum out is comming out with same stuff and works good 4.39 a can.","Reviewed in the United States on May 1, 2019",,
STP is a known brand name that I trust to have good items,4.0 out of 5 stars,Henry T,I was looking for a fuel stabilizer for my emergency generator and STP is a known brand name that I trust to have good products ...,"Reviewed in the United States on August 20, 2018",,
A product for winter storage,5.0 out of 5 stars,mike ,Been using this stuff every year. Helps out a lot during winter storage.,"Reviewed in the United States on January 15, 2021",,
