title,rating,username,description,date,image_urls,asin_number
Good fork oil,5.0 out of 5 stars,Bruce,"Item was delivered fast. Good fork oil, improved my steering stabilizer feel and help with speed wobble at time. Highly recommend.","Reviewed in the United States on August 14, 2023",,
Varity of oils for the type of ride you want.,5.0 out of 5 stars,Joseph Morren,If you want a soft ride use this oil in forks and enjoy.,"Reviewed in the United States on August 17, 2023",,
Oil quality,4.0 out of 5 stars,scott j wilkinson,Worked just fine.,"Reviewed in the United States on August 4, 2023",,
Works,5.0 out of 5 stars,Grace Holgerson,Good fork oil.,"Reviewed in the United States on July 11, 2023",,
Worked,5.0 out of 5 stars,Edgar,Dr650 front fork,"Reviewed in the United States on July 3, 2023",,
Cheap Alternative,5.0 out of 5 stars,Samantha kinsinger,Works well,"Reviewed in the United States on June 22, 2023",,
Llego a tiempo,5.0 out of 5 stars,Jose L Guzman,Bueno producto y buen precio,"Reviewed in the United States on June 14, 2023",,
A previous Review,5.0 out of 5 stars,CLA,"This item just arrived home. It was in a box, good quality bottle and made in USA.
The seller deserve a reward for have sent it as soon as I ordered. I ordered 4 itens in april 3rd, and the others itens weren't still shipped,  no prevision to receive them, while this seller  took the item and shipped separately, this seller has my recommendation.
When I open my fork to change the oil I'll return here to write about the product.","Reviewed in the United States on April 12, 2023",,
Works great,4.0 out of 5 stars,William b Gendren,Good product works great,"Reviewed in the United States on May 15, 2023",,
Excelente producto,5.0 out of 5 stars,Mike Vargas..,"Llegó rápido, y muy buen producto, esta trabajando bien en mi motocicleta.","Reviewed in the United States on April 15, 2023",,
