title,rating,username,description,date,image_urls,asin_number
2014 Jeep Grand Cherokee,5.0 out of 5 stars,Damian O. Brown,"Right price, shipped quickly! You need 6 quarts, exactly for the oil change on my vehicle. I purchased a quart along with it and saved the empty quart bottle. This way, I can buy more than 1 5qt bottle and fill the 1 quart bottle as needed.","Reviewed in the United States on August 16, 2023",,
"Great price, great quality!",5.0 out of 5 stars,Rafael F. Alvarez,"This is gonna be my recurrent buy, for sure...","Reviewed in the United States on August 1, 2023",,
Es bno el producto,4.0 out of 5 stars,William,Si cumple las caracteristicas,"Reviewed in the United States on July 31, 2023",,
Good oil,4.0 out of 5 stars,Don,I like it.,"Reviewed in the United States on July 10, 2023",,
If you own a car you need this.,5.0 out of 5 stars,Alan Rogers,It’s oil. 🤷🏻‍♂️. For a car. We all need it.,"Reviewed in the United States on June 13, 2023",,
"Great, I buy it every 3 months for all of my cars!",5.0 out of 5 stars,Randy Carpenter,"Works great, stays relatively clean, reasonably priced and easy to get. Nothing to dislike","Reviewed in the United States on June 4, 2023",,
Seems thin,3.0 out of 5 stars,RockAFire,Getting a 2 second  high rev and metallic roar at start up when cold.  Not happy.,"Reviewed in the United States on June 10, 2023",,
Good!,5.0 out of 5 stars,alondra,Great! We always buy this same product when needed .,"Reviewed in the United States on March 24, 2023",,
Very slippery,5.0 out of 5 stars,Dale,"This stuff is very slippery and my engine likes it. What my engine wants, my engine gets.","Reviewed in the United States on January 23, 2023",,
Great product,5.0 out of 5 stars,Lane Lawson,Used this before and now it’s the only oil I use in my vehicles.,"Reviewed in the United States on October 29, 2022",,
