title,rating,username,description,date,image_urls,asin_number
The right stuff,5.0 out of 5 stars,Paul D Healy,Use this oil in my 1966 MGB for the transmission fluid.  This oil factory spec for all mgb back in the day.  The high zinc level helps protect the soft metal parts.  Great product and price.,"Reviewed in the United States on August 1, 2023",,
Great value,5.0 out of 5 stars,RustyIron,"If you're looking for oil for an older car or for other household use, this is it.","Reviewed in the United States on August 5, 2023",,
VW 1600,5.0 out of 5 stars,Jon E Barrett,From online research this is the recommended high zinc content oil for my 1973 VW dune buggy.,"Reviewed in the United States on August 2, 2023",,
Motor runs smooth and quiet,5.0 out of 5 stars,CopperHead,Two valve BMW r1200 likes the Zn lubricity.,"Reviewed in the United States on August 7, 2023",,
Decreased oil consumption,5.0 out of 5 stars,T. Dunn,Use this oil in my lawn mower to minimize oil consumption.  Castrol make a great oil for small engines.,"Reviewed in the United States on July 26, 2023",,
Mother oil,5.0 out of 5 stars,Patti S.,Great price and fast shipping. Zinc additive is a big plus,"Reviewed in the United States on July 28, 2023",,
Works well,5.0 out of 5 stars,Mr. C,Quick ship and good price,"Reviewed in the United States on August 2, 2023",,
A oil with high zinc,5.0 out of 5 stars,Kevin,A must have oil for older cars and trucks hoping Castrol comes out with a 10w30 in the near future,"Reviewed in the United States on July 22, 2023",,
Perfect oil,5.0 out of 5 stars,Anthony G.,Castrol 20 -50 classic is what the Doctor ordered 🤔🧐🤓👍,"Reviewed in the United States on July 23, 2023",https://m.media-amazon.com/images/I/71+m5jPX5IL._SY88.jpg,
Best For My Classic Car,5.0 out of 5 stars,BF,My flat tappet TR6 benefits from the ZZDP additive that we lost when lead was removed and ethanol was introduced. The price point is excellent and prompted me to buy two jugs.,"Reviewed in the United States on July 8, 2023",,
