title,rating,username,description,date,image_urls,asin_number
great,5.0 out of 5 stars,Mike,"just what I need
 thanks","Reviewed in the United States on July 24, 2023",,
Happy,5.0 out of 5 stars,Ronda L. Fields,This is the best oil for my husband’s Grasshopper mower.,"Reviewed in the United States on July 11, 2023",,
Great,5.0 out of 5 stars,Unknown,Very good,"Reviewed in the United States on July 15, 2023",,
Made for any small engine,4.0 out of 5 stars,Elizabeth Murnane,Contains extra zinc (ZDDP) which is great for flat tappet engine.,"Reviewed in the United States on April 22, 2023",,
Packaged Deal actually,5.0 out of 5 stars,myself,"Fuel additive/booster/cleaner
2 quarts synthetic oil
Price not bad & sent to my mail (actually UPS)
Driver forwarded to me in-hand
Most likely doing an order again","Reviewed in the United States on April 28, 2023",,
It’s oil,5.0 out of 5 stars,adam trail,It’s oil. It’s does what oil is supposed to do,"Reviewed in the United States on May 9, 2023",,
It was great,5.0 out of 5 stars,Donald Brown,It was exactly what I needed,"Reviewed in the United States on April 3, 2023",,
It is oil put in engine it runs fine.,5.0 out of 5 stars,Bruno 3,It works,"Reviewed in the United States on March 22, 2023",,
It's oil,4.0 out of 5 stars,Mickey Morse,Working good,"Reviewed in the United States on September 11, 2022",,
Good product,5.0 out of 5 stars,Scott Brown,It’s a little high in price but I would buy again,"Reviewed in the United States on April 13, 2022",,
